zts1e	最棒的服務
zts10200e	騎士夢古貓寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]騎士夢古貓[n]魅惑的妖精之翼[n]惡魔監督者阿蒙變身卡[n]魔法滾軸滑板箱[n]紫色魔法吉普車禮盒[n]【芥綠色】名偵探套裝 (永久)[n]【高貴澄藍】舞會套裝 (永久)[n]狐耳朵帽子(永久)[n]三本尾巴娃娃裝(永久)[n]同伴存放欄擴充球[n]召喚之書[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts10201e	海軍夢古貓寶箱
zts10202e	海軍夢古貓寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]海軍夢古貓[n]愛羅尼亞之蛋[n]烈焰燃燒之翼[n]大精靈之蛋[n]型仔捧球棍[n]法輪複合弓[n]啪啪網球拍[n]【深棕色】名偵探套裝 (永久)[n]【酒紅色】名偵探套裝 (永久)[n]同伴卡片盒[n]同伴S卡重置卷II[n]大福神的覺醒[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts10203e	海盜夢古貓寶箱
zts10204e	海盜夢古貓寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]海盜夢古貓[n]吉隆崎之蛋[n]魔法UFO禮盒[n]烈焰冰霜之翼[n]大精靈之蛋[n]夢之特警帽(永久)[n]夢之特警服(永久)[n]【迷人粉紅】舞會套裝 (永久)[n]【可愛鮮黃】舞會套裝 (永久)[n]百變特殊卡盒[n]S卡重置藥水[n]佩拉諾的詛咒護符[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts10216e	打開寶箱獲得珍貴物品吧！
zts10217e	邪魔夢古貓寶箱
zts10218e	邪魔夢古貓寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]邪魔夢古貓[n][神聖]獨角幻獸箱子[n]狼‧牙棒(永久)[n]繡‧花弓(永久)[n]東‧鐵扇(永久)[n]綠色魔法吉普車禮盒[n]水漾男孩水兵帽(永久)[n]水漾女孩貝蕾帽(永久)[n]水漾男孩水手服(永久)[n]水漾女孩水手服(永久)[n]大福神的覺醒[n]S卡重置藥水[n]同伴S卡重置卷II[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts10219e	強力魔法充電器
zts10220e	魔法充電器(1天)
zts10221e	騎乘變身狀態下可以使用。[n]使用後，立即為騎乘變身充電，一定時間內獲得額外加速效果。[n]由於擁有較多的魔法能量，因此能夠在一段時間內無限次使用。[n]
zts10222e	魔法充電器(3天)
zts10223e	魔法充電器(7天)
zts10226e	十週年記念勳章
zts10229e	十週年萬聖節寶箱
zts10230e	十週年萬聖節寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]冥煌龍之黑鋼翼[n]剛煌龍之黃金翼[n]魔法飛龍箱子[n]尤柏蘭之鍵[n]骷髏戰士羅洛變身卡[n]腐化的魔法骨龍箱子[n]可愛九尾女助手卡片[n]可愛九尾狐卡片[n]赤丸晶球[n]南瓜夢古EX[n]哈囉喂積高帽子(永久)[n]迷幻南瓜帽子(永久)[n]佩拉諾的詛咒護符[n]哈囉喂變身護符[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]
zts10255e	泡沫慕絲染髮劑
zts10256e	人氣韓星捲捲頭 定型髮蠟
zts10257e	Two-Block雷根頭 定型髮蠟
zts10258e	很Chic髮帶公主頭 定型髮蠟
zts10259e	二次元劉海頭 定型髮蠟
zts10260e	人見人愛沙冷希寶箱
zts10261e	人見人愛沙冷希寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]泡沫慕絲染髮劑[n]人氣韓星捲捲頭 定型髮蠟[n]Two-Block雷根頭 定型髮蠟[n]很Chic髮帶公主頭 定型髮蠟[n]二次元劉海頭 定型髮蠟[n]芙蕾雅之鍵[n]拉格納羅洛之鍵[n]維京勇士晶球[n]氣泡精靈變身卡[n]弧形滑板禮盒[n]大精靈之蛋[n]大福神的覺醒[n]佩拉諾的詛咒護符[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts10273e	羅佩勒銀行特殊待遇
zts10274e	羅佩勒銀行特殊待遇徽章(10日)
zts10275e	當你使用羅佩勒銀行服務時，由於你是VIP因此免收提取費用。[n][注意事項]優惠只能維持10日。[n]
zts10276e	羅佩勒銀行特殊待遇徽章(30日)
zts10277e	當你使用羅佩勒銀行服務時，由於你是VIP因此免收提取費用。[n][注意事項]優惠只能維持30日。[n]
zts10279e	親親魯道夫寶箱
zts10280e	親親魯道夫寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魯道夫馴鹿帽子(永久)[n]魯道夫馴鹿親子裝(永久)[n]聖誕樹(永久)[n]聖誕糖果手杖(永久)[n]聖誕搖鈴(永久)[n]魯道夫馴鹿帽子(30日)[n]魯道夫馴鹿親子裝(30日)[n]聖誕樹(30日)[n]聖誕糖果手杖(30日)[n]聖誕搖鈴(30日)[n]召喚之書[n]羅佩勒銀行提款卡[n]羅佩勒銀行特殊待遇徽章(10日)[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts19641e	親親魯道夫寶箱
zts19642e	親親魯道夫寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魯道夫馴鹿帽子(永久)[n]魯道夫馴鹿親子裝(永久)[n]聖誕樹(永久)[n]聖誕糖果手杖(永久)[n]聖誕搖鈴(永久)[n]魯道夫馴鹿帽子(30日)[n]魯道夫馴鹿親子裝(30日)[n]聖誕樹(30日)[n]聖誕糖果手杖(30日)[n]聖誕搖鈴(30日)[n]召喚之書[n]羅佩勒銀行提款卡[n]羅佩勒銀行特殊待遇徽章(10日)[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts19654e	狗年春節禮盒
zts19655e	狗年春節禮盒[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]精靈王的精華[n]佩拉諾之蛋[n]冥煌龍之黑鋼翼[n]剛煌龍之黃金翼[n]魔法飛龍箱子[n][神聖]獨角幻獸箱子[n]冰晶夜鷹晶球[n]福鼠娘娘晶球[n]夏日休閒沙灘帽(永久)[n]夏日清涼沙灘裝(永久)[n]三本尾巴套裝(永久)[n]大精靈之蛋[n]新年利是[n]同伴S卡重置卷II[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]
zts19656e	疾風雷射豹寶箱
zts19657e	疾風雷射豹寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]疾風雷射豹禮盒[n]62式蒸汽大劍[n]SO-21動力弓[n]68式蒸汽魔杖[n]韓國傳統帽(永久)[n]粉紅色韓國禮服(永久)[n]韓國公子帽(永久)[n]杜鵑韓服(永久)[n]魔法毯子寶箱[n]魔法輕型車寶箱[n]黃色魔法吉普車禮盒[n]佩拉諾的詛咒護符[n]大福神的覺醒[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]
zts19668e	冒險家登山背包(永久)
zts19669e	同伴專用背包(永久)
zts19684e	你可以使用背包內所有物品。[n]持續10日[n]
zts19685e	你可以使用背包內所有物品。[n]持續30日[n]
zts19686e	你可以使用背包內所有物品。[n]持續60日[n]
zts19687e	背包擴充分別可以使用 10/30/60日期限
zts19688e	全方位禦寒衣物寶箱
zts19689e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]Omni-Warm禦寒帽子(永久)[n]Omni-Warm禦寒衣物(永久)[n]Omni-Warm禦寒帽子(30日)[n]Omni-Warm禦寒衣物(30日)[n]芙蕾雅之鍵[n]拉格納羅洛之鍵[n]維京法師妮恩之鍵[n]控偶師 凱妮 變身卡[n][愛心]獨角幻獸箱子[n]紅色魔法吉普車禮盒[n]特殊卡片盒[n]百變特殊卡盒[n]同伴卡片盒[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts19693e	封龍一族的宿命寶箱
zts19694e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]龍騎士鎧甲(永久)[n]啡色燙髮獅子帽子(永久)[n]黃金獅子帽子(永久)[n]啡色燙髮獅子衣服(永久)[n]黃金獅子衣服(永久)[n]蹦蹦復活兔套裝(永久)[n]跳跳復活兔套裝(永久)[n]仙狐晶球[n]神聖天使蛋[n]超級吱喳雞蛋[n]同伴存放欄擴充球[n]同伴S卡重置卷II[n]S卡重置藥水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]橡果[n]天使翅膀[n]
zts19695e	哥特騎士珍妮花寶箱
zts19696e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]哥特騎士 珍妮花之鍵[n]小丑 米米 變身卡[n]青‧兵衛變身卡[n]魔法開篷車寶箱[n]黃色魔法吉普車禮盒[n]夢古半藏晶球[n]大精靈之蛋[n]可愛夢古衣服(永久)[n]可愛夢古帽子(永久)[n]召喚之書[n]羅佩勒銀行提款卡[n]羅佩勒銀行特殊待遇徽章(10日)[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]一副塔羅卡[n]創世女神的祝福[n]天使翅膀[n]
zts19700e	初學者的魔法捲軸
zts19705e	魔法捲軸(70級以下角色使用)
zts19706e	當使用道具時，玩家會隨機變身駕馭下列坐騎(魔法輕型車、魔法毯子、飄逸之雪、魔法滑雪板、魔法弧形滑板、魔法越野腳踏車)[n]如果在變身過程中使用道具，會解除變身。[n][屬性][n]移動速度：17[n][配合魔法充電器][n]速度+2[n]持續時間+3[n][注意事項][n]等級限制：70級以下[n]此物品無法交易[n]
zts19739e	Dragon Knight Random Box
zts19740e	The box containing various items.[n]By opening it, you are able to get one of the items below.[n][Gettable items]1 Dragon Knight Costume (Permanent)[n]1 Nicely Permed Brown Lion Hat (Permanent)[n]1 Archaic Golden Lion Hat (Permanent)[n]1 Nicely Permed Brown Lion Clothes (Permanent)[n]1 Archaic Golden Lion Clothes (Permanent)[n]1 Sweet rabbit set (permanent)[n]1 Lovely rabbit set (permanent)[n]1 Bead of Fire storm[n]1 Seraphim egg[n]1 Egg of Chicken King Jr.[n]1 Bead of Partner Slot[n]1 Ticket for initialization of one partner skill rank[n]1 Point initialization potion[n]3 Equipment protection scroll[n]2 Upper card protection scroll[n]3 Lower card protection scroll[n]4 Blessing of Ancelloan[n]40 Acorn[n]99 Wing of angel[n]
zts19741e	Jennifer Random Box
zts19742e	The box containing various items.[n]By opening it, you are able to get one of the items below.[n][Gettable items][n]1 Jennifer[n]1 Clown Minu[n]1 Blue IMP[n]1 Magic open car box[n]1 Magic Jeep Box (Yellow)[n]1 Bead of Ninja tori[n]1 Pro-Element Box[n]1 Tori costume(Permanent)[n]1 Tori hat(Permanent)[n]1 Nosmate summons book[n]1 Debit card of Lopello Bank[n]1 Special Treatment Medal of Lopello Bank (10 days)[n]2 Equipment protection scroll[n]1 Upper card protection scroll[n]2 Lower card protection scroll[n]3 Good Smelling Perfume[n]2 Tarot card package[n]2 Blessing of Ancelloan[n]45 Wing of angel[n]
zts19760e	冷酷寶箱
zts19761e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]冷酷頭盔(永久)[n]冷酷盔甲(永久)[n]胡桃夾子羽毛帽(永久)[n]胡桃夾子衛衣(永久)[n]魔法毯子寶箱[n]大精靈之蛋[n]可愛夢古衣服(永久)[n]可愛夢古帽子(永久)[n]珍妮花的羽毛帽[n]龍之翼裝飾[n]佩拉諾的詛咒護符[n]大福神的覺醒[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]精靈醒覺[n]天使翅膀[n]
zts19769e	怪誕的新郎寶箱
zts19770e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]屍新郎夢古貓晶球[n]佩拉諾的祝福護符[n]吉隆崎之蛋[n]黃昏的精華[n]魔法筋斗雲寶箱[n]大精靈之蛋[n]艾卡凱姆[n]勒特爾[n]帝蒙爾[n]尤米妮克[n]特殊卡片盒[n]百變特殊卡盒[n]同伴卡片盒[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]精靈醒覺[n]天使翅膀[n]
zts19771e	怪誕的新娘寶箱
zts19772e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]屍新娘夢古貓晶球[n]佩拉諾的祝福護符[n]愛羅尼亞之蛋[n]哈托斯的精華[n]魔法筋斗雲寶箱[n]大精靈之蛋[n]艾卡凱姆[n]勒特爾[n]帝蒙爾[n]尤米妮克[n]同伴存放欄擴充球[n]同伴S卡重置卷II[n]S卡重置藥水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]精靈醒覺[n]天使翅膀[n]
zts19775e	控偶師裝扮寶箱
zts19776e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]科幻機械之翼[n]控偶師凱妮的髮夾(永久)[n]控偶師凱妮的服飾(永久)[n]舞者頭飾(永久)[n]時尚舞衣(永久)[n]高階水精靈[n]高階黑暗精靈[n]大天使路西斐爾變身卡[n]魔法滑浪風帆箱子[n]紅色魔法吉普車禮盒[n]佩拉諾的詛咒護符[n]大福神的覺醒[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]天使翅膀[n]
zts19777e	泰迪熊扮裝寶箱
zts19778e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]科幻機械之翼[n]泰迪熊帽子(永久)[n]泰迪熊扮裝(永久)[n]流浪者頭巾(永久)[n]流浪者之服(永久)[n]高階火精靈[n]高階光精靈[n]大天使路西斐爾變身卡[n]魔法滑浪風帆箱子[n]紅色魔法吉普車禮盒[n]召喚之書[n]羅佩勒銀行提款卡[n]羅佩勒銀行特殊待遇徽章(10日)[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]天使翅膀[n]
zts19817e	腐化的魔法骨龍寶箱2
zts19818e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]腐化的魔法骨龍箱子[n]車騎保管晶球[n]夏日休閒沙灘帽(永久)[n]夏日清涼沙灘裝(永久)[n]艦長夢古晶球[n]美少女海賊寶珠[n]魔盜王 夢古(水) 晶球[n]魔盜王 夢古(火) 晶球[n]魔盜王 夢古(光) 晶球[n]魔盜王 夢古(黑暗) 晶球[n]同伴存放欄擴充球[n]同伴S卡重置卷II[n]S卡重置藥水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]天使翅膀[n]
zts19819e	同伴角色造型寶箱
zts19820e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]芙蕾雅 造型Skin[n]拉格納羅洛 造型Skin[n]維京法師妮恩 造型Skin[n]尤柏蘭 造型Skin[n]哥特騎士珍妮花 造型Skin[n]尤柏蘭之鍵[n]芙蕾雅之鍵[n]拉格納羅洛之鍵[n]骷髏戰士羅洛變身卡[n]小丑 米米 變身卡[n]召喚之書[n]羅佩勒銀行提款卡[n]羅佩勒銀行特殊待遇徽章(10日)[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]精靈醒覺[n]天使翅膀[n]
zts19821e	異國空手道寶箱
zts19822e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]空手道髮形(永久)[n]空手道服裝(永久)[n]空手道髮形(30日)[n]空手道服裝(30日)[n]水漾夢古帽子(永久)[n]水漾夢古衣服(永久)[n]控偶師 凱妮 變身卡[n]大天使路西斐爾變身卡[n]魔法UFO禮盒[n]魔法滑浪風帆箱子[n]特殊卡片盒[n]百變特殊卡盒[n]同伴卡片盒[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]精靈醒覺[n]天使翅膀[n]
zts19825e	大天使路西斐爾變身卡
zts19833e	想不到吧寶箱
zts19834e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]守護者路西斐爾變身卡[n]惡魔之王阿蒙變身卡[n]警備長瓦芙變身卡[n]烈焰燃燒之翼[n]大精靈之蛋[n]魔法UFO禮盒[n]夢之特警帽(永久)[n]夢之特警服(永久)[n]【可愛鮮黃】舞會套裝 (永久)[n]【高貴澄藍】舞會套裝(永久)[n]召喚之書[n]同伴專用補藥[n]稀有 封印之塔羅卡 [星] [n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]精靈醒覺[n]天使翅膀[n]
zts19835e	夢古喵喵喵寶箱
zts19836e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]海軍夢古貓[n]海盜夢古貓[n]騎士夢古貓[n]烈焰冰霜之翼[n]大精靈之蛋[n]型仔捧球棍[n]法輪複合弓[n]啪啪網球拍[n]【芥綠色】名偵探套裝(永久)[n]【深棕色】名偵探套裝 (永久)[n]特殊卡片盒[n]百變特殊卡盒[n]同伴卡片盒[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]天使翅膀[n]
zts19837e	瓦爾哈拉的英雄
zts19838e	使用後，尤柏蘭將會加入成為你的同伴。[n]
zts19839e	使用後，珍妮花將會加入成為你的同伴。[n]
zts19840e	使用後，妮恩將會加入成為你的同伴。[n]
zts19841e	使用後，拉格納羅洛將會加入成為你的同伴。[n]
zts19842e	使用後，芙蕾雅將會加入成為你的同伴。[n]
zts19843e	王牌射手
zts19844e	水元素同伴變身卡。[n]遠距離攻擊同伴可以使用。[n]你是逃不掉的！！！[n]
zts19845e	惡魔的魅惑
zts19846e	暗元素同伴變身卡。[n]近距離攻擊同伴可以使用。[n]服從我，是你唯一的選擇！！！[n]
zts19847e	守護者的光芒
zts19848e	光元素同伴變身卡。[n]近距離攻擊同伴可以使用。[n]你的意志如何，你的日子也必如何！！[n]
zts19870e	德古拉邪魔寶箱
zts19873e	打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]吸血鬼的銳角裝飾(永久)[n]德古拉伯爵禮服(永久)[n]迷你亞克惡魔晶球[n]黑翼尤達晶球[n]邪魔夢古貓[n]綠色魔法吉普車禮盒[n]愛情料理帽(永久)[n]愛情料理服(永久)[n]愛情料理帽(30天)[n]愛情料理服(30天)[n]佩拉諾的詛咒護符[n]大福神的覺醒[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]精靈醒覺[n]天使翅膀[n]
