zts1e	Negozio degli attrezzi di Teo
zts6607e	Non ti far distrarre. Approfitteranno dell'occasione per farti fuori.
zts6608e	Lo so... però...
zts6609e	Devi tenere fede alle tue convinzioni!
zts6610e	Stavolta siamo sulla strada giusta.
zts6611e	Non sono sicura se questo sia davvero il percorso giusto...
zts6612e	Avevamo deciso di andare in questa direzione e quindi... proseguiamo!
zts6613e	Arrivano sempre più Angeli.
zts6614e	Hm... se continuano a venirci incontro così tanti nemici, significa che siamo nella direzione giusta. Eri, prendi la prima linea, noi ti copriamo le spalle!
zts6615e	Ok...
zts6616e	Alla prossima occasione, starò io in avamposto.
zts6617e	C'è qualcosa che non quadra.
zts6618e	Ho come l'impressione che questa milizia sia solo facendo da esca.
zts6619e	Non può essere... sono tutti Cavalieri Mistici!
zts6620e	Chi sono i Cavalieri Mistici?
zts6621e	Sono una truppa speciale dell'Armata degli Angeli, composta solo da sacerdoti di rango superiore. Entrano spesso in scena come i più acerrimi sostenitori di Lateor e combattono sempre in sua difesa. In prima linea. Quindi, se questi Angeli non appartengono ai Cavalieri Mistici...
zts6622e	Ciò significa che...
zts6623e	... ci hanno teso una trappola.
zts6624e	Non sarebbe meglio accertarsene, prima di continuare?
zts6625e	No, non c'è tempo! In un modo o nell'altro, scopriremo comunque contro chi ci dobbiamo confrontare.
zts6626e	Abbiamo raggiunto il bozzolo.
zts6627e	...
zts6628e	Cos'hai, Rect Lat?
zts6629e	Non è niente, andiamo!
zts6630e	(C'è qualcosa di anomalo. Qui non ci sono guardie.)
zts6631e	(Sia Eri che Rect Lat emanano una luce chiara. E non riesci a vedere niente.)
zts6632e	Non ce l'ho fatta a salvarli... sono perduti... AHHH!
zts6633e	Dai, su... Non ti abbattere... hai fatto del tuo meglio...
zts6634e	Non essere triste. È stata una nostra scelta. Grazie a te ho avuto l'onore di battermi per una giusta causa. Ti ringrazio di cuore. Davvero.
zts6635e	Da ora in poi... dipende solo da te... Non ti perderemo d'occhio un secondo!
zts6636e	E ora, quindi, cosa farete?
zts6637e	Lateor... siamo riusciti a evitare la sua resurrezione grazie al potente cimelio di Ancelloan.
zts6638e	E ora che farete?
zts6639e	Non potremo più fare ritorno a casa.
zts6640e	Ti ringrazio di cuore... ora so con certezza che la mia vita aveva un senso.
zts6641e	La mia città natale equivale al nulla. È l'oblio. Ora però sono sgorgate le acque della vita. Esse scorrono in un fiume impetuoso. Adoro questo mondo. E ora, dopo averti conosciuto, è indescrivibilmente splendido.
zts6642e	Adios Amigo!!
zts6643e	Abbi cura di te.
zts6644e	Non andate!!!
zts6645e	(A causa dello sfinimento, perdi conoscenza)
zts6646e	Atto 3 - Spazio-tempo 64
zts6647e	L'interno del Laboratorio Segreto è saturo di energia oscura. Cosa c'è da vedere lì?
zts6648e	Ne arrivano ancora?! Sempre di più?! Sempre più pericoloso...
zts6649e	Devo raccontarlo a tutti... e soprattutto devo compilare una descrizione completa di questo luogo nel mio rapporto.
zts6650e	(Esiti per un istante)
zts6651e	Io sono Kang Kang Koaren.
zts6652e	(Senti una risata. È leggera, come se provenisse da lontano, e non ci fai quasi caso.)
zts6653e	Bene, le mie indagini possono dirsi concluse. Ora non mi resta che trovare l'uscita... Da lì dietro non si può uscire. E ora dovrei andare?
zts6654e	È proprio senza fine. Mi sa che sto girando in tondo!!
zts6655e	(Appare del fumo che ti avvolge gradualmente)
zts6656e	Che cos'è? Incomincio a sentire una forte stanchezza... si sta appannando tutto... non devo cedere...
zts6657e	(Compare un'ombra oscura e poi perdi conoscenza)
zts6658e	Atto 3 - Spazio-tempo 65
zts6659e	(C'è della foschia velenosa. Respirare diventa faticoso.)
zts6660e	Che puzza... odio questo odore. È odore di morte.
zts6661e	Riusciremo a trovare qualche sopravvissuto?
zts6662e	Credo proprio di no... qui sotto non resisterebbe nessuno.
zts6663e	Hm... di nuovo lo stesso veleno. Trattieni il respiro!!
zts6664e	Questo veleno ha degli effetti negativi anche sulla ragione?
zts6665e	(Doggo annuisce)
zts6666e	Nota misteriosa:
zts6667e	Il guardiano del laboratorio si trova all'ultimo piano e tiene lontani gli invasori. Ci deve essere qualcosa di molto importante. Qualcosa da proteggere a tutti i costi.
zts6668e	Atto 3 - Spazio-tempo 66
zts6669e	Catlotta, Caty!
zts6670e	Wow! Mio cavaliere... che bello rivederti... mi sei mancato tanto... Ti sono mancata anche io?
zts6671e	Sono arrivato subito non appena ho sentito che avevi lasciato il villaggio dei Koaren. Perché sei andata via?
zts6672e	Mah, così... il cibo era immangiabile, buone maniere inesistenti e poi quell'odore... Anche la scomodità dei letti superava le peggiori aspettative. Insomma, non ce la facevo più.
zts6673e	Sorellina...
zts6674e	(Catlotta evita il tuo sguardo)
zts6675e	Possibile che tu volessi andar via perché ti sentivi in colpa? Perché ti sentivi responsabile sul fatto che sull'Albero di Fernon non sia stato sigillato completamente?
zts6676e	(Catlotta, titubante, annuisce)
zts6677e	I Catty sono dei codardi.
zts6678e	Kenel, smettila.
zts6679e	Come desiderate, Maestro.
zts6680e	Non fraintendere Kenel, giovane Catty. Ascoltate, però: noi Kovolt, me compreso, vi siamo molto grati per l'aiuto e non crediamo che voi siate dei codardi. Ma non possiamo lasciarvi andare solo perché vi sentite in colpa! Se Fernon continua ad essere un assillo, io suggerirei di trovare una soluzione al problema. Magari potremmo provare a piazzarle di nuovo un sigillo. Potremmo provarci insieme.
zts6681e	Maestro Korrkoaren...
zts6682e	Devi avere qualcosa che attrae i mostri in modo particolare.
zts6683e	(Forse intende gli Anelli di Radal?)
zts6684e	Ne discuteremo più tardi... dopo che avremo eliminato questi mostri.
zts6685e	Ehi... stai emanando un'energia anomala... Che cos'è? Mi farebbe piacere saperlo.
zts6686e	(Spieghi come hai avuto gli Anelli di Radal)
zts6687e	Wow, il pericolo è il tuo mestiere.
zts6688e	KangKang è in assoluto il guerriero più coraggioso.
zts6689e	Cosa? Kang Kang?
zts6690e	Non lo conosci? Ah, Kang Kang è...
zts6691e	(Interrompi Kenel e arrossisci)
zts6692e	In ogni caso, ci sono state tante vittime. Per questo, ho bisogno del tuo aiuto.
zts6693e	(Catlotta esamina attentamente l'anello. Poi tutto d'un tratto pare atterrita. È come se le fosse soggiunto un pensiero all'improvviso.)
zts6694e	Mi servirebbe un oggettino: si chiama Perla del crepuscolo. Procuramela e ti darò una mano. Va bene?
zts6695e	D'Accordo, ti porterò la perla.
zts6696e	Atto 3 - Spazio-tempo 67
zts6697e	È questo il luogo dove si trova la vecchia conchiglia?
zts6698e	Esatto...
zts6699e	Ma qui è pieno di mostri!
zts6700e	Questa Conchiglia gigante ha l'aspetto di una conchiglia vecchia di mille anni.
zts6701e	Ti ringrazio... quando hai aperto il sigillo, ho finalmente sentito di nuovo il profumo fresco dell'aria di mare. Non ti potrò mai ringraziare abbastanza. Permettimi di fare qualcosa per te.
zts6702e	Egregia Conchiglia gigante millenaria, avremmo bisogno della Perla del crepuscolo.
zts6703e	Okay.
zts6704e	(La Conchiglia gigante sputa la Perla del crepuscolo)
zts6705e	Questa perla è il mio capolavoro, la mia opera principale. Nonché l'unica. Spero che la utilizziate per una buona causa. Grazie di avermi liberato!
zts6706e	(Compare Chrysos. Ridacchia.) Splende. Mia. Dammela...
zts6707e	Furfante... questa non la passi liscia.
zts6708e	(Kenel si scaglia su Chrysos. Questi riesce però a sfuggire e si allontana di corsa ridacchiando)
zts6709e	Se falliamo, i Catty si prenderanno gioco di noi. Sarebbe un disonore per i guerrieri Koaren. Io e i miei Koaren ci riprenderemo la perla.
zts6710e	Vengo anch'io.
zts6711e	No... tu vai dai Catty e vedi farli calmare. Ecco, portagli questi fiori. Ora vai, su...
zts6712e	Atto 3 - Spazio-tempo 68
zts6713e	Ahhh!!! Co... Cos'è ? Un verme?
zts6714e	(Il verme trasale non appena ti vede e poi sparisce nel buio)
zts6715e	Non ho mai visto un verme così grande. Cosa potrebbe mai essere?
zts6716e	Atto 3 - Spazio-tempo 69
zts6717e	Si sta avvicinando qualcosa. Attenzione!!!
zts6718e	Treekun Treekun Treekun...
zts6719e	Questo rumore... no... cos'è successo a Treekun? C'entra per caso qualcosa con la mutazione degli Yak? È lui che li ha resi malvagi?
zts6720e	(Dopo aver sconfitto Treekun, ottieni le Piume d'oro)
zts6721e	Io, ehm...
zts6722e	Cosa?
zts6723e	Quelle cose che hai lì sono molto preziose. Per me. Vorrei riaverle indietro.
zts6724e	Ok, prego!
zts6725e	(Consegni le Piume d'oro a Eri)
zts6726e	Ti ringrazio! Mi chiamo Eri Windspear. Ma puoi chiamarmi Eri... ooops!
zts6727e	(Eri inciampa e cade a terra)
zts6728e	Ahia!! Che male...
zts6729e	Ogni tanto mi succede... ma sto bene... ooops!
zts6730e	(Eri inciampa di nuovo)
zts6731e	(Ah, sì, di tanto in tanto? Deve fare proprio male) A proposito, che è quella colonna laggiù? Sembra che non sia ben piantata a terra...
zts6732e	Di quali colonne stai parlando? No, quella è la mia lancia Slade Oxtern. Fa parte del tesoro di famiglia. Quella lancia è appartenuta al mio tris-, tris-, tris...
zts6733e	(Eri racconta del suo tesoro di famiglia)
zts6734e	(Quindi, dovrebbe essere una lancia? Questa cosa è troppo grande per essere una lancia...) È pesante?
zts6735e	Era pesante la prima volta che l'ho presa in mano. Ma ora ci ho fatto l'abitudine. Peso? Hm... sicuramente più pesante di quest'albero.
zts6736e	(Eri indica un albero mammut)
zts6737e	Più pesante di quest'albero? (Eri deve avere una forza inimmaginabile...)
zts6738e	Hm... bene, mi voglio sdebitare, visto che mi hai dato le piume. Sei d'accordo?
zts6739e	(Eri estrae una pietra lucente dalla borsa e poi te la consegna.)
zts6740e	Questa l'ho beccata lì nel Sotterraneo... Ho sentito che la gente adora queste pietre luccicanti. Ecco, accettala, dai.
zts6741e	Grazie, davvero tanto gentile da parte tua... però, non posso accettarla.
zts6742e	Certo che puoi. Mi sembra il minimo che possa fare.
zts6743e	(Eri prende Slade Oxtern e scompare)
zts6744e	Atto 3 - Spazio-tempo 70
zts6745e	(Scopri un grosso giacimento)
zts6746e	È lì!
zts6747e	(Improvvisamente il verme riappare e divora l'intero minerale)
zts6748e	Quella cosa mangia il minerale?
zts6749e	(Il verme ti nota e si allontana di nuovo)
zts6750e	Accidenti... l'ho perso di nuovo...
zts6751e	Eri?
zts6752e	Chi sei?
zts6753e	Di recente, ti ho dato una mano a recuperare le Piume d'oro...
zts6754e	Ah, l'avventuriero. Ero talmente presa da quello che stavo facendo che non ti ho riconosciuto... eheh, scusami.
zts6755e	Ho visto un verme...
zts6756e	In questo momento sono in missione. Ho un incarico importante da svolgere. Ne riparleremo in seguito.
zts6757e	Ehi...
zts6758e	(Eri scompare rapidamente)
zts6759e	(Lì dove ha strisciato il verme, è rimasta una traccia di bava particolarmente ampia)
zts6760e	Deve sicuramente esistere un legame tra il verme e il minerale...
zts6761e	Atto 3 - Spazio-tempo 71
zts6762e	Questo posto, inoltre, è rinomato perché offre rifugio ai Cerberi. È più tranquillo di quanto immaginassi.
zts6763e	Ci sono davvero i Cerberi? Non è che abbia speso i miei soldi inutilmente?
zts6764e	Sono tutti così piccoli...
zts6765e	Grrrrrr... Grrr...
zts6766e	Ecco, trovato.
zts6767e	Atto 3 - Spazio-tempo 72
zts6768e	(Eri deve essere lì vicino. Senti un forte ululato accompagnato da altri rumori. Dev'esserci in corso un combattimento.)
zts6769e	Tu hai comunque un grosso bastone. Vieni, dai! Il tuo bastone è triste? Per quale motivo... sta piangendo?
zts6770e	Nessuno può opporsi al mio Slade Oxtern.
zts6771e	Bah... per sconfiggermi i tuoi slogan non bastano.
zts6772e	Parlo seriamente. Distruggerò la tua arma, così non potrai combattere.
zts6773e	Eh, divertente.
zts6774e	(Il Demone evita l'attacco di Eri senza troppo sforzo e sferra un contrattacco)
zts6775e	Aaahhh!!!
zts6776e	(Eri è a terra. Il Demone si scaglia su di lei.)
zts6777e	Adesso ti ho in pugno!! Non mi sfuggirai!
zts6778e	(Adesso succederà qualcosa di terribile!) Basta, smettila!
zts6779e	(Ti frapponi tra Eri e i Demoni)
zts6780e	Tu cosa vuoi?
zts6781e	Non ti permetterò di attaccare di nuovo.
zts6782e	Non stavi aspettando altro...
zts6783e	(Il Demone scappa)
zts6784e	Non scappare!!! Fermati...
zts6785e	Rallenta.
zts6786e	Ma devo cercare di bloccare i Demoni. Stanno ostacolando i nostri doveri sacri.
zts6787e	Con queste ferite non saresti in grado di combattere. Devi riposare.
zts6788e	Ma...
zts6789e	Davvero, Eri, stammi a sentire.
zts6790e	(Dopo che hai prestato assistenza a Eri:)
zts6791e	Come mai il Demone ti ha attaccato?
zts6792e	Lo so che sei un Angelo e che lavori per Rody Windsinger.
zts6793e	Però, nessuno dovrebbe sapere che sono un Angelo.
zts6794e	Perché?
zts6795e	Non volevo coinvolgerti in questa guerra. Sei un essere umano coraggioso. Non avresti indugiato a combattere, anche se non se non te l'avessi chiesto.
zts6796e	Tutto ciò che so è che non riesco a stare senza far niente. Devo agire. Di continuo.
zts6797e	È lì.
zts6798e	(Eri indica il settimo ingrediente per l'incantesimo)
zts6799e	Per questo ti hanno attaccato?
zts6800e	Sì. Questo è uno degli ingredienti di cui i Demoni hanno bisogno per attaccare Fever. Stanno tentando di annientarlo per evitare che Lateor, il Re degli Angeli, possa resuscitare.
zts6801e	Perché volete risvegliare Lateor, il Re degli Angeli?
zts6802e	Per vincere la guerra contro i Demoni. Ho sentito che hai evitato che l'Albero di Fernon risorgesse. È chiaro che i Demoni si vogliano impadronire di questo mondo. Continuano a ordire piani e dichiarare guerra. E a noi non resta che una sola possibilità di porre fine a questo conflitto. Dobbiamo far risorgere il Re degli Angeli.
zts6803e	Ho sentito che si verificherà una violenta esplosione quando Lateor, il Re degli Angeli, si risveglierà. È vero?
zts6804e	No, non è per niente vero. Uno dei punti cardine della filosofia del Re degli Angeli è il valore della vita. E io supporto con forza questo suo pensiero.
zts6805e	(Decidi di stare dalla parte di Eri. Le racconti che hai iniziato a recuperare gli ingredienti utili per l'incantesimo in seguito a un incarico affidatoti da Soty Bystander.)
zts6806e	Grazie. Apprezzo la tua sincerità. Qui ho un ingrediente che mi ha dato Rody Windsinger. Sembra l'esca utile per attirare Fever. Ma innesca un effetto differente.
zts6807e	Un effetto differente?
zts6808e	Se un Demone dovesse usare questo ingrediente per un incantesimo, verrebbe svelata la sua vera identità. E verrebbe incatenato. Fai così: dallo ai Demoni.
zts6809e	Atto 3 - Spazio-tempo 73
zts6810e	*Rect Lat ti sto portando l'ultimo ingrediente per l'incantesimo. Ora si può iniziare.
zts6811e	Grazie.
zts6812e	(Rect Lat inizia con i preparativi e pronuncia la formula dell'incantesimo)
zts6813e	Strano... non succede niente...
zts6814e	Come mai? Mi hai portato proprio TUTTI gli ingredienti presenti nella lista?
zts6815e	Dunque...
zts6816e	Non è che abbia per caso scambiato qualche ingrediente per un altro, no vero? Dimmi la verità... subito!!
zts6817e	(Racconti tutto a Rect Lat)
zts6818e	Accidenti... ti hanno ingannato.
zts6819e	No, non è possibile. Sono degli Angeli. E tu sei un Demone.
zts6820e	Pensi forse che io sia un tuo nemico?
zts6821e	I Demoni hanno distrutto il sigillo dell'Albero di Fernon e hanno dato avvio al conflitto tra Kovolt e Umani. Voi Demoni portate il caos ovunque.
zts6822e	Oh... forse dovremmo discutere un po' più approfonditamente noi due. In ogni caso, solo dopo aver eliminato i mostri. Sembra che abbiano preso di mira anche te.
zts6823e	Anche tu mi hai mandato contro dei mostri per eliminarmi, o no?
zts6824e	Io ho eseguito solo un incantesimo con gli ingredienti che mi hai portato. Non collaboro con quelle bestie. Fai attenzione che non ti uccidano.
zts6825e	Atto 3 - Spazio-tempo 74
zts6826e	L'Umano è ancora vivo?
zts6827e	Eri forse non è ancora riuscita a rifilare l'ingrediente sbagliato a Rect Lat?
zts6828e	Che cosa intendi?
zts6829e	I Demoni avrebbero potuto ucciderti. La tua presenza ci è di intralcio. In ogni caso, quando Lateor sarà in questo mondo, farà in modo di riportare l'ordine. Questo non significa che non si possa morire prima che il progetto venga portato a termine.
