zts1e	Neuer Gegenstand
zts3261e	Der Timespace, um das Dark Castra-Siegel zu bekommen.[n]Levellimit: 50-65[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Kann nur alleine betreten werden.[n][n]
zts3262e	Timespacestein (Schwarze Riesenspinne)
zts3263e	Der Timespace, um das Siegel der schwarzen Riesenspinne zu bekommen.[n]Levellimit: 60-75[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Kann nur alleine betreten werden.[n][n]
zts3264e	Timespacestein (Riesenslade)
zts3265e	Der Timespace, um das Siegel des Riesenslade zu bekommen.[n]Levellimit: 70-85[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Kann nur alleine betreten werden.[n][n]
zts3266e	Event-Kostümbox (Hut)
zts3267e	Öffne die Box, um einen der Hüte zu erhalten.[n]Die Hüte haben eine Anwendungsdauer von 7 bzw. 30 Tagen und sind nicht übertragbar.[n][Achtung][n]Dieses Item ist nur bis zum 30. Dezember gültig.[n][n]
zts3268e	Event-Kostümbox (Kleidung)
zts3269e	Öffne die Box, um eins der Kostüme zu erhalten.[n]Die Kostüme haben eine Anwendungsdauer von 7 bzw. 30 Tagen und sind nicht übertragbar.[n][Achtung][n]Dieses Item ist nur bis zum 30. Dezember gültig.[n][n]
zts3270e	Schokoriegel
zts3271e	Ein Eventitem.[n]Wenn du Eva Energy in NosVille 10 Stück davon bringst, erhältst du zufällig einen von drei verschiedenen Schokoriegeln.[n]Vorsicht: Dieses Item ist nur bis zum 20. November gültig.[n][n]
zts3272e	Dunkler Schokoriegel
zts3273e	Ein Eventitem.[n]Wenn du diesen Schokoriegel isst, erhöht sich deine Angriffskraft aufgrund des hohen Kakaoanteils für 30 Minuten um 10%.[n]Vorsicht: Dieses Item ist nur bis zum 20. November gültig.[n][n]
zts3274e	Weißer Schokoriegel
zts3275e	Ein Eventitem.[n]Wenn du diesen Schokoriegel isst, erhöht sich deine Verteidigungskraft aufgrund des hohen Anteils an weißer Schokolade für 30 Minuten um 10%.[n]Vorsicht: Dieses Item ist nur bis zum 20. November gültig.[n][n]
zts3276e	Stern
zts3277e	Ein Eventitem.[n]Bei Benutzung bekommst du 50 Minuten lang 10% mehr Erfahrungspunkte.[n]Du kannst den Gegenstand nur einmal täglich verwenden.[n]Sterne können bei Mimi Mentor eingetauscht werden.[n][Achtung][n]Dieses Item verschwindet zum Eventende.[n][n]
zts3278e	1. Schwertkämpfer-Timespace
zts3279e	Spezialisten-Timespace.[n]Levellimit: mind. 55[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Wenn du diesen Timespace bestehst, erhältst du eine Spezialistenkarte.[n]Kann nur allein betreten werden.[n][n]
zts3280e	2. Schwertkämpfer-Timespace
zts3281e	Spezialisten-Timespace.[n]Levellimit: mind. 58[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Wenn du diesen Timespace bestehst, erhältst du eine Spezialistenkarte.[n]Kann nur allein betreten werden.[n][n]
zts3282e	3. Schwertkämpfer-Timespace
zts3283e	Spezialisten-Timespace.[n]Levellimit: mind. 62[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Wenn du diesen Timespace bestehst, erhältst du eine Spezialistenkarte.[n]Kann nur allein betreten werden.[n][n]
zts3284e	4. Schwertkämpfer-Timespace
zts3285e	Spezialisten-Timespace.[n]Levellimit: mind. 65[n]Mit diesem Gegenstand kannst du den Timespace sofort betreten.[n]Wenn du diesen Timespace bestehst, erhältst du eine Spezialistenkarte.[n]Kann nur allein betreten werden.[n][n]
zts3286e	5. Schwertkämpfer-Timespace
zts3287e	1. Bogenschützen-Timespace
zts3288e	2. Bogenschützen-Timespace
zts3289e	3. Bogenschützen-Timespace
zts3290e	4. Bogenschützen-Timespace
zts3291e	5. Bogenschützen-Timespace
zts3292e	1. Magier-Timespace
zts3293e	2. Magier-Timespace
zts3294e	3. Magier-Timespace
zts3295e	4. Magier-Timespace
zts3296e	5. Magier-Timespace
zts3297e	Kostümbox
zts3298e	Box mit verschiedenen Kostümen.[n]Wenn du den Timespace bestanden hast, erhältst du ein Kostüm-Item.[n]Je nach Level des Timespace den du bestanden hast, ändert sich das Item, das du erhältst.[n][n]
zts3299e	NosMall-Box
zts3300e	Die Box enthält Items, die du erworben hast.[n]Sie enthält eine Premium-Medaille (10 Tage) und eine Hut-Glücksbox (7 Tage).[n][n]
zts3301e	Die Box enthält Items, die du erworben hast.[n]Sie enthält eine Premium-Medaille (10 Tage) und eine Kostüm-Glücksbox (7 Tage).[n][n]
zts3302e	Die Box enthält Items, die du erworben hast.[n]Sie enthält eine Premium-Medaille (30 Tage) und eine Hut-Glücksbox (30 Tage).[n][n]
zts3303e	Die Box enthält Items, die du erworben hast.[n]Sie enthält eine Premium-Medaille (30 Tage) und eine Kostüm-Glücksbox (30 Tage).[n][n]
zts3304e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 1x Ausrüstungsschutzrolle und eine gute Glücksbox.[n][n]
zts3305e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 5x Ausrüstungsschutzrolle und die beste Glücksbox.[n][n]
zts3306e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 10x Ausrüstungsschutzrolle, eine Hut-Glücksbox (30 Tage) und die beste Glücksbox.[n][n]
zts3307e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 10x Ausrüstungsschutzrolle, eine Kostüm-Glücksbox (30 Tage) und die beste Glücksbox.[n][n]
zts3308e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 1x Schriftrolle der Freisetzung und eine gute Glücksbox.[n][n]
zts3309e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 3x Schriftrolle der Freisetzung und die beste Glücksbox.[n][n]
zts3310e	Die Box enthält Items, die du erworben hast.[n]Sie enthält einen Spezialistenkartenhalter und die beste Glücksbox.[n][n]
zts3311e	Die Box enthält Items, die du erworben hast.[n]Sie enthält eine Partnerperle und die beste Glücksbox.[n][n]
zts3312e	Die Box enthält Items, die du erworben hast.[n]Sie enthält eine Haustierperle und die beste Glücksbox.[n][n]
zts3313e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 2x Namensschild für Haustiere und eine gute Glücksbox.[n][n]
zts3314e	Die Box enthält Items, die du erworben hast.[n]Sie enthält Spezielles Haustierfutter und eine gute Glücksbox.[n][n]
zts3315e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 10x Lautspecher und eine Sprechblase.[n][n]
zts3316e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 33x Lautspecher, eine gute Glücksbox, 5x Cylloan Quellwasser und 5x Sprechblase.[n][n]
zts3317e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 5x Trank der Würde, eine gute Glücksbox und 5x Cylloan Quellwasser.[n][n]
zts3318e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 3x Vorstellung, eine gute Glücksbox und 5x Cylloan Quellwasser.[n][n]
zts3319e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 5x Medizin für Partner und eine hochwertige Glücksbox.[n][n]
zts3320e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 5x Edles Haustierfutter und eine hochwertige Glücksbox.[n][n]
zts3321e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 10x Flügel der Freundschaft und eine hochwertige Glücksbox.[n][n]
zts3322e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 33x Cylloan Quellwasser und eine hochwertige Glücksbox.[n][n]
zts3323e	Die Box enthält Items, die du erworben hast.[n]Sie enthält 99x Cylloan Quellwasser und eine hochwertige Glücksbox.[n][n]
zts3324e	Waffenbuch für angehende Schwertkämpfer
zts3325e	Ein Waffenbuch für angehende Schwertkämpfer.[n]Mithilfe dieses Buchs und deiner Waffen und Rüstungen kannst du neue Waffen und Rüstungen herstellen.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3326e	Waffenbuch für angehende Bogenschützen
zts3327e	Ein Waffenbuch für angehende Bogenschützen.[n]Mithilfe dieses Buchs und deiner Waffen und Rüstungen kannst du neue Waffen und Rüstungen herstellen.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3328e	Waffenbuch für angehende Magier
zts3329e	Ein Waffenbuch für angehende Magier.[n]Mithilfe dieses Buchs und deiner Waffen und Rüstungen kannst du neue Waffen und Rüstungen herstellen.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3330e	Waffenbuch für fortgeschrittene Schwertkämpfer
zts3331e	Ein Waffenbuch für fortgeschrittene Schwertkämpfer.[n]Mithilfe dieses Buchs und deiner Waffen und Rüstungen kannst du neue Waffen und Rüstungen herstellen.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3332e	Waffenbuch für fortgeschrittene Bogenschützen
zts3333e	Ein Waffenbuch für fortgeschrittene Bogenschützen.[n]Mithilfe dieses Buchs und deiner Waffen und Rüstungen kannst du neue Waffen und Rüstungen herstellen.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3334e	Waffenbuch für fortgeschrittene Magier
zts3335e	Ein Waffenbuch für fortgeschrittene Magier.[n]Mithilfe dieses Buchs und deiner Waffen und Rüstungen kannst du neue Waffen und Rüstungen herstellen.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3336e	Illustriertes Buch für Accessoires
zts3337e	Ein illustriertes Buch für Accessoires.[n]Mithilfe dieses Buchs und deiner Accessoires kannst du neue Accessoires herstellen.[n][Produktion][n]1. Alle Materialien müssen im Inventar vorhanden sein.[n]2. Öffne das Produktionsfenster mit Doppelklick auf die Schriftrolle.[n]3. Wähle den Gegenstand aus, den du herstellen möchtest.[n]4. Ziehe eventuell benötigte Ausrüstungsgegenstände in das Fenster.[n]5. Drücke auf die Produktionstaste, um den Prozess abzuschließen.[n][Achtung][n]Das Seltenheitslevel, das Veredelungslevel und die Optionen der Ausgangsgegenstände werden auf das Produkt übertragen.[n][n]
zts3338e	Eine Zutat für die Zubereitung eines Erholungstranks.[n]Du findest sie im Mandragora-Topf.[n][n]
zts3339e	Wird zum Durchspielen einer Quest benötigt.[n][n]
zts3340e	HP und MP werden langsam wieder aufgefüllt.[n]Auch dein NosMate profitiert davon.[n]Kann nur benutzt werden, während du dich ausruhst.[n][n]
zts3341e	HP-Verbrauch: 30.000[n]Wenn du Schaden erleidest, absorbieren die verbrauchten HP einen Teil des Schadens.[n]Kann nur benutzt werden, während du dich ausruhst.[n][n]
zts3342e	HP-Verbrauch: 5.000[n]Wenn du Schaden erleidest, absorbieren die verbrauchten HP einen Teil des Schadens.[n]Kann nur benutzt werden, während du dich ausruhst.[n][n]
zts3343e	HP-Verbrauch: 10.000[n]Wenn du Schaden erleidest, absorbieren die verbrauchten HP einen Teil des Schadens.[n]Kann nur benutzt werden, während du dich ausruhst.[n][n]
zts3344e	HP und MP werden langsam wieder aufgefüllt.[n]Auch dein NosMate profitiert davon.[n]Kann jederzeit benutzt werden.[n][n]
zts3345e	Füllt langsam deine HP- und MP-Werte wieder auf.[n]Das gilt auch für deine NosMates.[n][n]
zts3346e	Wenn du das Amulett der Heimkehr benutzt, gelangst du an den vorher gespeicherten Ort zurück.[n][n]
zts3347e	Futter für Haustiere.[n]Gibst du es deinem Haustier zu fressen, steigert sich seine Erfahrung und seine Loyalität erhöht sich um 100.[n][n]
zts3348e	Haustiertrainer (Fortgeschrittene)
zts3349e	Mit diesem Item kannst du Haustiere auf Level 3-4 trainieren.[n]Beschwört einen Tiertrainer für 10 Minuten.[n]Wenn dein Haustier angreift, wird sein Angriffslevel erhöht.[n]Wird es besiegt, steigt sein Verteidigungslevel.[n]Nach vollständig absolviertem Training wird das Level deines Haustiers mit einer bestimmten Wahrscheinlichkeit erhöht.[n]Der Tiertrainer kann nur an bestimmten Orten beschworen werden.[n][Trainingsorte][n]Trainingsplatz auf dem Port Alveus-Platz[n]Trainingsplatz am Fernonvorposten[n]Trainingsplatz beim Westlichen Krem[n]Trainingsplatz bei der Zitadelle[n][n]
zts3350e	NosMate-Schutzengel
zts3351e	Eine Zutat für die Zubereitung eines Erholungstranks.[n]Du findest sie an dem Busch mit roten Früchten.[n][n]
zts3352e	Eine Zutat für die Zubereitung eines Erholungstranks.[n]Du findest sie am grünen Kräuterbaum.[n][n]
zts3353e	Eine Zutat für die Zubereitung eines Erholungstranks.[n]Du findest sie im Ginsengtopf.[n][n]
zts3354e	HP-Verbrauch: 2.000[n]Wenn du Schaden erleidest, absorbieren die verbrauchten HP einen Teil des Schadens.[n]Kann nur benutzt werden, während du dich ausruhst.[n][n]
zts3355e	HP-Verbrauch: 1.000[n]Wenn du Schaden erleidest, absorbieren die verbrauchten HP einen Teil des Schadens.[n]Kann nur benutzt werden, während du dich ausruhst.[n][n]
zts3356e	Stellt die HP und MP von Spielern am Lagerfeuer vollständig wieder her.[n]Die Wirkung tritt sofort ein.[n][n]
zts3357e	HP-Verbrauch: 500[n]Wenn du Schaden erleidest, absorbieren die verbrauchten HP einen Teil des Schadens.[n]Kann nur benutzt werden, während du dich ausruhst.[n][n]
zts3358e	Wird im versteckten Timespace verwendet.[n][Einsatzmöglichkeiten][n]1. Bei Entdeckung eines Timespace (Raid).[n]2. Bei der Quest des geheimen Labors.[n][Anleitung][n]1. Begib dich zum Ort des versteckten Timespace.[n]2. Benutze eine Wünschelrute.[n]3. Verändere deine Position, wenn ein Fragezeichen erscheint, und setze die Wünschelrute erneut ein.[n]4. Wenn ein Pfeil erscheint, begib dich in die angezeigte Richtung. Verwende die Wünschelrute dabei weiter.[n]5. Benutze einen Timespacestein, um den versteckten Timespace zu öffnen, sobald du ein Energiefeld gefunden hast.[n]6. Betritt den versteckten Timespace.[n][n]
zts3359e	Maulwurfsschwanz
zts3360e	Füllt deine SpP langsam auf.[n]Kann nur benutzt werden, während du dich ausruhst.[n][n]
zts3361e	Ketchup
zts3362e	Wird zum Kochen verwendet.[n][n]
zts3363e	Hackfleisch
zts3364e	Seltenes Material zum kochen.[n]Du kannst es in der Raidhöhle in Glacernon erhalten.[n][n]
zts3365e	Fleisch
zts3366e	Geflügel
zts3367e	Saftiger Braten
zts3368e	Stellt die HP und MP von Spielern am Lagerfeuer vollständig wieder her.[n]Die Wirkung tritt sofort ein.[n][n]
zts3369e	Pekingente
zts3370e	Stellt 5.000 SpP des Kochs und 1.000 SpP der Spieler am Lagerfeuer wieder her.[n]Die Wirkung tritt sofort ein.[n][n]
zts3371e	Brot
zts3372e	Weißer Feenstein
zts3373e	Enthält die Energie der Feen.[n]Wird zur Herstellung von Waffen und Rüstungen auf Level 20 benutzt.[n][n]
zts3374e	Grüner Feenstein
zts3375e	Enthält die Energie der Feen.[n]Wird zur Herstellung von Waffen und Rüstungen auf Level 30 benutzt.[n][n]
zts3376e	Lila Feenstein
zts3377e	Enthält die Energie der Feen.[n]Wird zur Herstellung von Waffen und Rüstungen auf Level 40 benutzt.[n][n]
zts3378e	Blauer Feenstein
zts3379e	Enthält die Energie der Feen.[n]Wird zur Herstellung von Waffen und Rüstungen auf Level 50 benutzt.[n][n]
zts3380e	Roter Feenstein
zts3381e	Enthält die Energie der Feen.[n]Wird zur Herstellung von Waffen und Rüstungen auf Level 60 benutzt.[n][n]
zts3382e	Dunkler Feenstein
zts3383e	Enthält die Energie der Feen.[n]Wird zur Herstellung von Waffen und Rüstungen auf Level 70 benutzt.[n][n]
zts3384e	Kovolt-Vogelscheuche
zts3385e	Mit diesem Item kannst du dein NosMate ab Level 20 trainieren.[n]Beschwört eine Vogelscheuche für 10 Minuten.[n]Erhöht die Erfahrungspunkte des NosMates, wenn es die Vogelscheuche angreift.[n]Der Spieler wird dadurch nicht beeinflusst.[n]Die Vogelscheuche kann nur an bestimmten Orten beschworen werden.[n][Trainingsorte][n]Trainingsplatz auf dem Port Alveus-Platz[n]Trainingsplatz am Fernonvorposten[n]Trainingsplatz beim Westlichen Krem[n]Trainingsplatz bei der Zitadelle[n][n]
zts3386e	Buschi-Vogelscheuche
zts3387e	Mit diesem Item kannst du dein NosMate ab Level 70 trainieren.[n]Beschwört eine Vogelscheuche für 10 Minuten.[n]Erhöht die Erfahrungspunkte des NosMates, wenn es die Vogelscheuche angreift.[n]Der Spieler wird dadurch nicht beeinflusst.[n]Die Vogelscheuche kann nur an bestimmten Orten beschworen werden.[n][Trainingsorte][n]Trainingsplatz auf dem Port Alveus-Platz[n]Trainingsplatz am Fernonvorposten[n]Trainingsplatz beim Westlichen Krem[n]Trainingsplatz bei der Zitadelle[n][n]
zts3388e	Kenko-Vogelscheuche
zts3389e	Mit diesem Item kannst du dein NosMate ab Level 30 trainieren.[n]Beschwört eine Vogelscheuche für 10 Minuten.[n]Erhöht die Erfahrungspunkte des NosMates, wenn es die Vogelscheuche angreift.[n]Der Spieler wird dadurch nicht beeinflusst.[n]Die Vogelscheuche kann nur an bestimmten Orten beschworen werden.[n][Trainingsorte][n]Trainingsplatz auf dem Port Alveus-Platz[n]Trainingsplatz am Fernonvorposten[n]Trainingsplatz beim Westlichen Krem[n]Trainingsplatz bei der Zitadelle[n][n]
zts3390e	Warepard-Vogelscheuche
zts3391e	Mit diesem Item kannst du dein NosMate ab Level 40 trainieren.[n]Beschwört eine Vogelscheuche für 10 Minuten.[n]Erhöht die Erfahrungspunkte des NosMates, wenn es die Vogelscheuche angreift.[n]Der Spieler wird dadurch nicht beeinflusst.[n]Die Vogelscheuche kann nur an bestimmten Orten beschworen werden.[n][Trainingsorte][n]Trainingsplatz auf dem Port Alveus-Platz[n]Trainingsplatz am Fernonvorposten[n]Trainingsplatz beim Westlichen Krem[n]Trainingsplatz bei der Zitadelle[n][n]
zts3392e	Catsy-Vogelscheuche
zts3393e	Mit diesem Item kannst du dein NosMate ab Level 50 trainieren.[n]Beschwört eine Vogelscheuche für 10 Minuten.[n]Erhöht die Erfahrungspunkte des NosMates, wenn es die Vogelscheuche angreift.[n]Der Spieler wird dadurch nicht beeinflusst.[n]Die Vogelscheuche kann nur an bestimmten Orten beschworen werden.[n][Trainingsorte][n]Trainingsplatz auf dem Port Alveus-Platz[n]Trainingsplatz am Fernonvorposten[n]Trainingsplatz beim Westlichen Krem[n]Trainingsplatz bei der Zitadelle[n][n]
zts3394e	Totenkopfkrieger-Vogelscheuche
zts3395e	Mit diesem Item kannst du dein NosMate ab Level 60 trainieren.[n]Beschwört eine Vogelscheuche für 10 Minuten.[n]Erhöht die Erfahrungspunkte des NosMates, wenn es die Vogelscheuche angreift.[n]Der Spieler wird dadurch nicht beeinflusst.[n]Die Vogelscheuche kann nur an bestimmten Orten beschworen werden.[n][Trainingsorte][n]Trainingsplatz auf dem Port Alveus-Platz[n]Trainingsplatz am Fernonvorposten[n]Trainingsplatz beim Westlichen Krem[n]Trainingsplatz bei der Zitadelle[n][n]
