zts1e	Ausruhen
zts3225e	Kann nur bei Haustieren verwendet werden, die das maximale Trainingslevel erreicht haben.
zts3226e	Durchbruch erzielen
zts3227e	Erhöht die Sternewertung des ausgewählten Haustiers.
zts3228e	Fortgeschrittenes Zähmen
zts3229e	Damit kannst du ein 2-Sterne-Haustier zähmen.
zts3230e	Trainingsmonster beschwören
zts3231e	Dieses Trainingsmonster kann Haustiere bis Trainingslevel 40 verbessern.
zts3232e	Verbessertes Essenz extrahieren
zts3233e	Extrahierst du die Essenz von 1- bzw. 2-Sterne-Haustieren, erhältst du mit einer Wahrscheinlichkeit von 10% eine zusätzliche.
zts3234e	Starkes Trainingsmonster beschwören
zts3235e	Dieses Trainingsmonster kann Haustiere bis Trainingslevel 60 verbessern.
zts3236e	Training zurücksetzen
zts3237e	Setzt das Trainingslevel des ausgewählten Haustiers auf 0 zurück.
zts3238e	Leichter Peitschenhieb
zts3239e	Du versuchst, einen Verbündeten zu zähmen.
zts3240e	Du weißt nicht, ob das möglich ist.
zts3241e	Drohgebärden
zts3242e	Das Haustier macht sich kampfbereit und erhöht die Angriffskraft.
zts3243e	Drohgebärden 1
zts3244e	Drohgebärden 2
zts3245e	Drohgebärden 3
zts3246e	Drohgebärden 4
zts3247e	Drohgebärden 5
zts3248e	Drohgebärden 6
zts3249e	Massenbetäubung
zts3250e	Schlägt Feinde in der Nähe bewusstlos.
zts3251e	Massenbetäubung 1
zts3252e	Massenbetäubung 2
zts3253e	Massenbetäubung 3
zts3254e	Massenbetäubung 4
zts3255e	Massenbetäubung 5
zts3256e	Massenbetäubung 6
zts3257e	Gieriges Schnappen
zts3258e	Das Haustier schnappt gierig nach Gegnern.
zts3259e	Gieriges Schnappen 1
zts3260e	Gieriges Schnappen 2
zts3261e	Gieriges Schnappen 3
zts3262e	Gieriges Schnappen 4
zts3263e	Gieriges Schnappen 5
zts3264e	Gieriges Schnappen 6
zts3265e	Abwehrhaltung
zts3266e	Das Haustier nimmt eine defensive Haltung ein und erhöht die Verteidigung.
zts3267e	Abwehrhaltung 1
zts3268e	Abwehrhaltung 2
zts3269e	Abwehrhaltung 3
zts3270e	Abwehrhaltung 4
zts3271e	Abwehrhaltung 5
zts3272e	Abwehrhaltung 6
zts3273e	Erste Hilfe
zts3274e	Dein Körper regeneriert sich.
zts3275e	Erste Hilfe 1
zts3276e	Erste Hilfe 2
zts3277e	Erste Hilfe 3
zts3278e	Erste Hilfe 4
zts3279e	Erste Hilfe 5
zts3280e	Erste Hilfe 6
zts3281e	Haustiertrainer-Anleitung 1
zts3282e	Sämtliche Angriffe und Verteidigungen sind um 25 erhöht.
zts3283e	Haustiertrainer-Anleitung 2
zts3284e	Haustiertrainer-Anleitung 3
zts3285e	Das Trainingsmonster bleibt für 15 Minuten.
zts3286e	Das Trainingsmonster bleibt für 30 Minuten.
zts3287e	Das Trainingsmonster bleibt für 60 Minuten.
zts3288e	Giftpfeil
zts3289e	Feuert einen Giftpfeil auf das Ziel.
zts3290e	Der getroffene Gegner wird vergiftet.
zts3291e	Rankenpfeil
zts3292e	Feuert einen Pfeil, aus dem Ranken erwachsen.
zts3293e	Die Ranken schnüren das Ziel ein.
zts3294e	Tödliche Samen
zts3295e	Verteilt parasitäre Samen in der Umgebung.
zts3311e	Törtchen-Hieb
zts3312e	Greift ein Ziel mit der Macht des Törtchens an.
zts3313e	Techrons Muskelforschung
zts3314e	Erhöht die max. HP um 14.000.
zts3315e	Techrons Kognitionssforschung
zts3316e	Erhöht die Geschicklichkeit um 220.
zts3317e	Techrons Hirnforschung
zts3318e	Erhöht die Geisteskraft um 220.
zts3319e	Techrons Knochenforschung
zts3320e	Erhöht die Körperkraft um 220.
zts3321e	Techrons Magieforschung
zts3322e	Erhöht die max. MP um 14.000.
zts3323e	Feenfreundschaft (2)
zts3324e	Erhöht alle Elementresistenzen um 20.
zts3325e	Erhöht die max. HP um 13.000.
zts3326e	Erhöht die Geschicklichkeit um 200.
zts3327e	Erhöht die Geisteskraft um 200.
zts3328e	Erhöht die Körperkraft um 200.
zts3329e	Erhöht die max. MP um 13.000.
