zts1e	Teos Werkzeugladen
zts5579e	Wenn du sie noch nie zuvor gesehen hast, kann ich das gut verstehen. Diese seltsame Spezies ... Im Übrigen müssen wir herausfinden, wo sie leben. Wir brauchen die Catsys, falls es zu einem Krieg kommen sollte oder für die Zerstörung von Fernon.
zts5580e	Krieg?
zts5581e	Ich meine den Konflikt zwischen den Kovolts und den Catsys.
zts5582e	Hey! Wir haben gerade einen Krieg hinter uns und du redest schon vom nächsten? Warum hassen die Kovolts die Catsys? Gut, sie sehen vielleicht etwas merkwürdig aus, aber sie erscheinen mir nicht sonderlich gefährlich zu sein.
zts5583e	Das hat keinen bestimmten Grund. Wir hassen uns einfach, seit wir das Licht der Welt erblickt haben.
zts5584e	Das ist doch lächerlich!
zts5585e	Vieles geschieht ohne wirklichen Grund. Weißt du das etwa noch nicht?
zts5586e	Aber wenn wir noch einen weiteren Krieg führen müssen, wird uns das sehr schaden! Und was ist, wenn Fernon erwacht, während wir gerade gegeneinander kämpfen?
zts5587e	In diesem Fall werden die Koaren und die Catsys eine Regelung finden. Wir wollen uns schließlich nicht vollkommen auslöschen. Im schlimmsten Fall können die Menschen diese Entscheidung treffen. Wir sollten uns dennoch überlegen, wo die Catsys leben könnten. Ich werde dir sagen, wo sie sich vielleicht aufhalten.
zts5588e	Es ist ein enger Pfad. Hat sie das erwähnt?
zts5589e	Etwas scheint hier zu sein.
zts5590e	Nein, hier ist nichts. Vielleicht sind sie woanders hingegangen?
zts5591e	Ich ging zu dem Platz, den du mir genannt hast, aber dort waren keine Catsys.
zts5592e	Oh mann... dieses unreine Volk... immer müssen sie wegrennen. Okay, ich werde dir ein neues Ziel geben.
zts5593e	Ein enger Pfad. Los gehts.
zts5594e	Was? Hier ist nichts!!!
zts5595e	Dort war nichts. Ich habe meine Zeit verschwendet.
zts5596e	Tut mir Leid, aber diese Information ist von einer vertrauenswürdigen Quelle. Geh' dort hin!
zts5597e	Sie müssen hier sein...
zts5598e	Okay... hier könnte etwas sein, ich sollte das überprüfen.
zts5599e	Oh mann... hier ist nichts.
zts5600e	Da war nichts?? Einen Moment.
zts5601e	(Anni geht nach draußen und gibt einem der kleinen Kovolts einen Schokoriegel.)
zts5602e	(Was tut sie da?)
zts5603e	Jetzt hab ich es. Diesmal bin ich mir sicher.
zts5604e	Nur mit einer Tafel Schokolade? Bist du dir sicher?
zts5605e	Kennst du den Unterschied nicht? Wenn deine Informationen richtig sind, gebe ich dir eine Belohnung. Wenn du mich aber anlügst, wartet eine fiese Strafe auf dich. Zwar gibt es dieses NosCamp hier noch nicht lange, aber meine Fähigkeiten können sich sehen lassen! So, jetzt geh und finde die Catsys.
zts5606e	Hmmm... ich weiß ja nicht, aber ich wage einen letzten Versuch.
zts5607e	Ja... etwas ist hier.
zts5608e	Uhh... Das sind zu viele!!! Ich kann ihnen nicht länger standhalten... Ich gehe lieber zu Mimi.
zts5609e	Mimi!
zts5610e	Ah... lange nicht gesehen!! Wie geht es dir?
zts5611e	Also, um ehrlich zu sein, nicht gut.
zts5612e	Wirklich? Hast Du ein Problem? Ich hörte, dass du Anni geholfen hast.
zts5613e	Tatsächlich...
zts5614e	(Du erklärst Mimi, was passiert ist ...)
zts5615e	Ja, ich verstehe. Der Fernonbaum erwacht wieder?
zts5616e	Das wusstest du nicht?
zts5617e	Weil der Krieg gerade erst vorbei ist, hatten wir noch nicht die Möglichkeit, darüber nachzudenken.
zts5618e	Ich muss die Catsys finden. Hast du eine Idee, wo ich sie finden könnte?
zts5619e	Ich habe keine Ahnung, aber ich kenne einen Pfad, auf dem von Zeit zu Zeit Catsys durchkommen.
zts5620e	Ahhh!!! Ja, danke Mimi.
zts5621e	Was ist mit Kenel passiert? Er hat doch gegen Fernon gekämpft. Ich dachte, ich kenne ihn ... Wenn ich nichts unternehme, wird künftig niemand mehr in der Lage sein, den Baum zu zerstören. Ich muss Catlotte finden, bevor Kenel es tut.
zts5622e	Akt 2 - Fortsetzung von Kovolts und Catsy
zts5623e	Die Prinzessin der Catsys? Das ist die Chance. Du... dieses Mal musst du dein bestes geben!
zts5624e	Ich gebe bereits mein bestes!
zts5625e	Ich kann es gar nicht genug betonen. Ich eröffne dir eine sehr wichtige Informationsquelle. Also bitte beeile dich.
zts5626e	Solange die Informationen korrekt sind ... (Ich vermisse Mimi.)
zts5627e	Ich werde es herausfinden, bevor Mimi es tut.
zts5628e	Eine Empfehlung, hierher zu kommen ... Öhm?! Du?
zts5629e	Wenn wir uns wiedersehen, brauche ich diesen Hut.
zts5630e	Hut?! Wovon zum Teufel sprichst du?
zts5631e	Dachtest du, dass du die Information umsonst bekommen würdest?
zts5632e	Nein, nein... sicher werde ich dafür bezahlen. Wärst du mit irgendeinem Hut zufrieden?
zts5633e	Ein Modeexperte wie ich würde niemals einen gewöhnlichen Hut tragen. Du wirst das hier brauchen.
zts5634e	Eine Spitzhacke? Soll ich den Hut mit einer Spitzhacke anfertigen?
zts5635e	Tzä, tzä, und ich soll mit dir Geschäfte abwickeln? Wenn du einen Hinweis brauchst, frag Anni. Sie könnte mehr darüber wissen.
zts5636e	Du kommst früh zurück. Hat er dir die Information umsonst gegeben? Wie kann das sein?
zts5637e	Richtig. Er sagte, er wolle einen Hut, und dann gab er mir diese Spitzhacke.
zts5638e	Hohoho... er hat sich nicht verändert. Benutze die Spitzhacke in der Nähe des Dorfes und bring mir glänzenden Stein.
zts5639e	Ja? (Wie kann sie aus Steinen einen Hut machen?)
zts5640e	Wie soll ich aus einem Stein einen Hut machen? Wie auch immer, Anni wird das schon machen.
zts5641e	Hier ist es, aber hast du wirklich vor, aus einem Stein einen Hut zu machen?
zts5642e	Mach dich nicht lächerlich. Der Stein ist nur zur Dekoration.
zts5643e	Ahh... ja... ich wusste es... es war ein Witz.
zts5644e	Ist schon in Ordnung, der Hut wird aus Stoff gemacht. Also... bring mir ein paar Stücke hochwertigen Stoff.
zts5645e	Hmm... ja, du hast gutes Material mitgebracht.
zts5646e	Wie ich bereits sagte, wusste ich, dass man aus Steinen keinen Hut machen kann. Ich bin doch nicht dumm!
zts5647e	Ja, ja... ist schon in Ordnung. Nun sei ruhig, ich werde dir jetzt einen schönen Hut herstellen.
zts5648e	(Anni näht einen Hut.)
zts5649e	Wow... du kannst nähen... ich wusste nicht, dass du so talentiert bist.
zts5650e	Da hast du mich wohl unterschätzt. Okay, er ist fertig. Nun bist du an der Reihe. Nimm ihn und mach eine gute Arbeit.
zts5651e	Okay. Dafür gebe ich diese nützliche Information an dich weiter: Die Prinzessin der Catsys befindet sich derzeit im Jagdrevier der Monster. Mach dich dorthin auf den Weg und prüfe es.
zts5652e	Catlotte muss da weg. Ich werde Anni fragen.
zts5653e	Das ist doch ... Warum ist die Catsy hier?! Nur Kovolts dürfen das Neblige Tal betreten ...
zts5654e	Das Neblige Tal? Meinst du, Catlotte könnte dort sein?
zts5655e	Möglich ... Wenn das der Fall sein sollte, wird es nicht gerade einfach.
zts5656e	Wie meinst du das?
zts5657e	Das Neblige Tal ist, wie sein Name es andeutet, von einem dichten Nebel eingehüllt. Doch das ist kein gewöhnlicher Nebel, sondern ein Giftnebel. Niemand kann sich längere Zeit dort aufhalten. Außerdem lauern dort sehr starke Monster.
zts5658e	Heißt das, wir müssen aufgeben?
zts5659e	Es gibt eine Möglichkeit, aber die ist äußerst gefährlich. Ich kann nicht von dir verlangen, dass du das machst, <pname>. Wenn du nicht möchtest, kannst du hier aufhören.
zts5660e	Nein, ich muss zu Catlotte. Bitte sag mir, wie diese Möglichkeit aussieht.
zts5661e	Also gut, ich erzähle es dir. Einmal im Monat wird Mount Krem von einem Dämmerlicht eingehüllt. Wir können diese mysteriöse Energie nutzen, um eine Maske zu erschaffen, die dich vor dem Gift schützt. Zufällig ist heute ebendieser Tag. Lege diesen Stoff am Gipfel des Mount Krem ab und er wird sich rot verfärben. Bringe ihn morgen zu mir zurück und ich werde die Maske für dich anfertigen.
zts5662e	Der Stoff verfärbt sich rot!
zts5663e	Hier ist die Maske.
zts5664e	Danke. Nun werde ich Catlotte suchen!
zts5665e	Oh, einen Moment.
zts5666e	Es wird nicht leicht werden. Pass gut auf dich auf.
zts5667e	Hmm? Ich habe kein gutes Gefühl. Übrigens, was ist das?
zts5668e	Sind das Kenel und Catlotte? Was... was soll ich bloß tun? Ich weiß nicht genau, aber ich kann Catlotte so nicht zurücklassen.
zts5669e	Was? Und du hast gesehen, wie Kenel sie entführt hat?
zts5670e	Was? Und du hast gesehen, dass Kenel sie entführt hat?
zts5671e	Es gibt nichts, was ich tun könnte. Catlotte scheint es ja sogar zugelassen zu haben. Aber ich muss sie beschützen. Weißt du, wo sie sein könnte?
zts5672e	Wenn Kenel sie entführt hat, dürfte sie höchstwahrscheinlich im unterirdischen Gefängnis sein ...
zts5673e	Unterirdisches Gefängnis? Wo ist das?
zts5674e	Lass mich ausreden. Niemand kennt den Ort außer den Ältesten der Kovolts.
zts5675e	Nun, dann werde ich die Ältesten fragen.
zts5676e	Hm ... Sie werden dir nicht einfach so verraten, wo der Ort liegt.
zts5677e	Was führt dich hierher, junger Abenteurer?
zts5678e	Ja, ich möchte wissen, wo das unterirdische Gefängnis ist.
zts5679e	Junger Abenteurer, wir verraten anderen Völkern nicht einfach so unsere Geheimnisse!
zts5680e	Dessen bin ich mir bewusst. Aber es ist wirklich wichtig und ich werde alles tun, was du verlangst. Bitte sag es mir.
zts5681e	Haha.. wenn du so verzweifelt bist, dann bring mir einige Zähne von Biestern. Wenn du am Leben bleibst, werde ich es dir erzählen.
zts5682e	Leben die noch???
zts5683e	Haha ... Ohja. Bring mir Zähne der legendären Biester. Dafür musst du allerdings das heilige Land der Kovoltkrieger durchqueren. Ansonsten wirst du es nicht zu den Biestern schaffen. Haha, nur leider werden dich die Seelen der Krieger nicht vorbeilassen.
zts5684e	(Wie Anni schon sagte, will er mir nicht helfen.) Okay, ich werde lebend zurückkehren! Ich werde in einem Stück zurückkehren und dir die Zähne bringen. Aber du musst dein Versprechen halten, wenn ich zurückkomme.
zts5685e	Ohje! Das ist so ein Monster, von dem der Älteste gesprochen hat. Das hätte mich das Leben kosten können. Alter Mann, du wirst es bereuen, wenn du dein Versprechen nicht hältst!
zts5686e	Hier sind sie, die Zähne der Biester!
zts5687e	Was? Sind das wirklich die Zähne? Das kann nicht sein. Das waren die legendären Biester, wie konntest du das nur tun?
zts5688e	Du siehst, dass ich es geschafft habe. Es war sehr gefährlich, aber ich habe gesiegt!
zts5689e	Jetzt weiß ich, du betrügst mich. Du bringst mir eine Fälschung und beharrst darauf, dass sie von echten Biestern stammen. Denkst du, dass du mich betrügen kannst?
zts5690e	Wie kannst du nur so etwas von mir denken?!
zts5691e	Nein? Beruhige dich, ich scherze nur. Ja, das sind in der Tat Zähne der Biester.
zts5692e	Tzä!!!
zts5693e	(Carven schämt sich.) Hmm? Du willst also etwas über das unterirdische Gefängnis wissen, ja? Ich werde es dir erzählen.
zts5694e	Ich hätte nicht gedacht, dass Kenel so etwas tun würde ... Vielleicht hat er Catlotte sogar verletzt.
zts5695e	Das Familienoberhaupt und die Familienverwalter können die Familie nicht verlassen. Familienmitglieder, die austreten, müssen 24 Stunden warten, bevor sie sich erneut einer Familie anschließen können.
zts5696e	Anni
zts5697e	Anni_Hauptquest
zts5698e	Level 56 - NosCamp-Höhle auf dem Mount Krem
zts5699e	Level 57 - Kovolts und Catsys
zts5700e	Level 60 - Wiedererwachen der Kenkos
zts5701e	Teoman-Hauptquest
zts5702e	Level 61 - Der Tod der Kenkos!
zts5703e	Der Gipfel des Krem ist ein heiliger Ort, den wir Kovolts durchschreiten müssen. Geh dort hin und überzeuge unsere 8 Ahnengötter davon, dass diese Energie nicht von der Anwesenheit der Menschen stammt. Bring ihnen ein Opfer dar und wasche die Statuen mit purem Fruchtsaft, um ihre Kraft zu erhalten. Das wird dich von der bösen Energie befreien.
zts5704e	Magier, eine der Statuen ist zerbrochen!
zts5705e	Uff ... Das ist ganz schön schwer. Wo ist eigentlich die Catsy? Ah ... Wen soll ich bloß darum bitten, die Statue zu reparieren? Ich habe keine Ahnung, wer dafür in Frage kommen könnte ... Teoman vielleicht? Seine Arbeit könnte ihn dazu befähigen ... Hmmm? Hier geht es allerdings nicht um Waffen, sondern um ein Kunstwerk, also ... ist das Schluri?
zts5706e	(Du berichtest Anni davon.)
zts5707e	Catsys... der Hass der Kovolts auf dieses Volk ist noch schlimmer als das Misstrauen, das sie den Menschen gegenüber hegen.
zts5708e	Hmm... ich denke, hier bietet sich die perfekte Gelegenheit, um die Beziehungen zu den Kovolts aufzupolieren.
zts5709e	Warum können sich die Kovolts nicht mit den Catsys vertragen?
zts5710e	Als allererstes müssen wir die Catsys fangen - und das vor allen anderen. Ich kenne da einen Ort, an dem sich die Catsys gerne aufhalten. Geh mal dorthin!
zts5711e	Hey!!
zts5712e	Los!
zts5713e	Wirklich? Ich habe andere Informationen. Diesmal sollte es sicher sein.
zts5714e	Dort waren keine Catsys, nur Monster.
zts5715e	Weil sie sich selten draußen zeigen. Aber meine Quellen sind weit verstreut.
zts5716e	Diese Richtung. Versuch es dort.
zts5717e	Einen Moment, ich werde mich umhören und es dich wissen lassen.
zts5718e	(Nach einer Weile ...)
zts5719e	Ich bin mir selbst nicht sicher, aber jemand sagte, er hätte irgendwo einige Catsys gesehen. Willst du dein Glück versuchen?
zts5720e	Ah! Aber ich hörte, dass die Kovolts dort jagen.
zts5721e	Ah... alles klar.
zts5722e	Es gab zwar einige Missverständnisse, aber eines ist sicher: ich muss die Prinzessin der Catsys finden, bevor Kenel es tut.
zts5723e	Die Prinzessin der Catsys? Das ist die Chance. Du... Du musst dein Bestes geben, um sie rechtzeitig zu finden!
zts5724e	Ja, ich weiß das. Aber gib mir doch dieses Mal bitte Informationen, die auch zutreffen.
zts5725e	Natürlich. Ich werde dich mit der besten Informationsquelle bekannt machen. Beeil dich!
zts5726e	Ist das der Platz, den Anni erwähnte?
zts5727e	Anni bat mich herzukommen. Moment... dich kenn ich doch?
zts5728e	Du schon wieder!! Sorg dafür, dass diese Typen verschwinden. Sie sind zu laut!!
zts5729e	Meinst du wirklich diese Kerle da?
zts5730e	Ja... die dort drüben. Bring sie weg oder zum schweigen. Sie irritieren mich.
zts5731e	Aber warum soll ich deinen Befehlen gehorchen?
zts5732e	Bist du nicht hergekommen, um etwas herauszufinden? Wenn nicht, ist es auch in Ordnung.
zts5733e	Nein, nein... ich werde mich darum kümmern und dann sofort zurückkommen.
zts5734e	Hmm... ich bin nun besser still. Sonst bricht er womöglich noch sein Versprechen...
zts5735e	Ja, jetzt ist es ruhig. Nun möchte ich einen Hut haben.
zts5736e	Brauchst du die Informationen nicht?
zts5737e	Okay... gut... jetzt gebe ich dir die Informationen. Geh zu dem Punkt, den ich dir zeige.
zts5738e	(Auf einem Handspiegel steht 'Nebliges Tal'. Es wurde mit Lippenstift geschrieben.)
zts5739e	Das muss der Spiegel der Catsyprinzessin sein. Ich frage besser Anni.
zts5740e	Hm ... Das Neblige Tal ...
zts5741e	Was ist das für ein Ort?
zts5742e	Das Neblige Tal ist, wie der Name schon sagt, immer von dichtem Nebel umgeben. Allerdings ist es kein gewöhnlicher Nebel, sondern giftiger Nebel. Deshalb kann niemand dort für lange Zeit bleiben. Und noch schlimmer, dieses Tal wird von starken Dämonen - den Nebelriesen - bewacht.
zts5743e	Wirklich... also, was muss ich tun?
zts5744e	Gegen die Riesen kann ich nichts ausrichten, aber ich kann eine Maske für dich herstellen. Sie wird dich davor schützen, vergiftet zu werden.
zts5745e	Eine im Abendrot gefärbte Maske kann dich vor dem Gift des Nebligen Tals schützen.
zts5746e	Wie kann ich so etwas bekommen?
zts5747e	Die höchste Abendrotkraft bekommst du auf der Abendrotklippe am Gipfel des Krem. Geh dorthin.
zts5748e	Wenn du ein Stück hochwertigen Stoff ins Abendrot legst, dann wird er sich rot färben.
zts5749e	Danke. Jetzt will ich mich auf die Suche nach der Catsyprinzessin machen.
zts5750e	Es ist zu viel Zeit vergangen. Weißt du, wie wichtig diese Mission für das NosCamp hier ist?
zts5751e	Ja natürlich. (Nörgelt sie schon wieder?)
zts5752e	Ich dachte, es wäre Nebel. Dabei war es ein Dämon. Ein sehr starker Dämon!! Ahhh!! Was hätte ich nur ohne die Maske gemacht? Das möchte ich mir besser gar nicht erst vorstellen.
zts5753e	Was? Denkst du, dass wir die Chance auf den Sieg verpasst haben?
zts5754e	Anni!! Das ist nicht wichtig.
zts5755e	Doch... es ist sehr wohl WICHTIG!!
zts5756e	Anni, bleib ruhig bitte.
zts5757e	Weißt du eigentlich, wie oft wir die Gelegenheit schon verpasst haben?
zts5758e	Das weiß ich schon, aber die Chance auf den großen Erfolg wird kommen.
zts5759e	Was meinst du? Willst du damit sagen, wir haben eine andere Möglichkeit?
zts5760e	Weißt du nicht, dass Catlotte bei der Versiegelung von Fernon eine entscheidende Rolle spielt?
zts5761e	Wenn wir sie retten und Fernon wieder versiegeln ... was könnte diesen Erfolg übertreffen?
zts5762e	Hmmm ...
zts5763e	Kenel hat sie aufgrund des alten Hasses auf ihr Volk entführt.
zts5764e	Wenn wir Catlotte nicht retten können, dann verlieren wir die Chance, Fernon zu versiegeln. Wir müssen sie sofort finden.
zts5765e	Hmmm... wenn sie von Kenel gefangen gehalten wird, muss sie im Unterirdischen Gefängnis sein.
zts5766e	Das ist die Frage... weil dieser Ort für eine so lange Zeit nicht benutzt wurde, wissen viele der jungen Kovolts nichts von seiner Existenz.
zts5767e	Wahrscheinlich können sich einige der alten Kovolts daran erinnern.
zts5768e	Ein alter Kovolt? Also, ich glaube, ich kenne da genau den richtigen...
zts5769e	Du darfst dir jetzt keinen Fehler erlauben. Du musst auf Mount Krem unbedingt erfolgreich sein, verstanden?
zts5770e	Ich weiß, dass es viel verlangt ist, aber ich muss es wissen. Ich werde tun, was immer du verlangst, also bitte gib mir eine Chance!
zts5771e	Haha ... Ohja. Bring mir Zähne der legendären Biester. Dafür musst du allerdings das heilige Land der Kovoltkrieger durchqueren. Ansonsten wirst du es nicht zu den Biestern schaffen. Haha, nur leider werden dich die Seelen der Krieger nicht vorbeilassen.
zts5772e	Okay!! Ich werde in einem Stück zurückkehren und dir die Zähne bringen. Aber du musst dein versprechen halten, wenn ich zurückkomme.
zts5773e	Huch!! Und was für ein Monster das ist. Wie der alte Mann gesagt hat, ich könnte tot sein.
zts5774e	Beide Seiten haben versichert, einen Friedenspakt schließen zu wollen... aber bis dahin müssen wir einen langen Weg gehen.
zts5775e	Akt 2 - Die Wiederauferstehung von Kenko
zts5776e	(Du erklärst Anni, was passiert ist.)
zts5777e	Ein Friedensabkommen zwischen den Kovolts und Catsys? Hört sich großartig an. Aber sie konnten sich ja noch nie leiden... das wird ein hartes Stück Arbeit.
zts5778e	Ich weiß, aber ich muss es versuchen. Weißt du, wo Cenil ist?
zts5779e	Hmm... ich weiß... nebenbei bemerkt, schau dir das mal an.
zts5780e	Was ist das?
zts5781e	Vielleicht hast du bereits davon gehört, dass im Mount Krem viele Schätze versteckt sind. Ich habe hier eine Schatzkarte.
zts5782e	Anni!! Das ist nicht die richtige Zeit, um an einen Schatz zu denken.
