zts1e	Teo's Tool Shop
zts4030e	I'm not sure you really want to learn anything. Why not use your menu window?
zts4031e	Haha... That sounds fun.
zts4032e	What is that?
zts4033e	It sounds like a piece of music by Mozart... Hm... Words don't come close to describing this beautiful music...
zts4034e	I just can't pull myself away from this music!
zts4035e	What are you talking about? I don't hear any music!
zts4036e	Hey! What is it?
zts4037e	Hurry! We don't have much time!
zts4038e	I need to have look around more closely...
zts4039e	Hm... I have the strange feeling that something's wrong here.
zts4040e	What's wrong?
zts4041e	I'm here to collect the guard's weapon.
zts4042e	Here...
zts4043e	(He's still not very friendly.) Thanks!
zts4044e	Hey, you!
zts4045e	Strange things are happening here. Do you think you could help us?
zts4046e	Of course!
zts4047e	It's not a huge problem. We just need a few more people to help us keep an eye on the area.
zts4048e	These enemies keep getting stronger!
zts4049e	This creature had a strange Black Slate with it.
zts4050e	What strange letters! I can't figure out the writing on this slate. Maybe Calvin can translate it.
zts4051e	Hm, an interesting script. Just a moment... I think I might be able to understand what's written here.
zts4052e	I took the slate from an Underworld Devil. So what does it say?
zts4053e	Hmmm...
zts4054e	(Silence.)
zts4055e	The devils from these Time-Spaces want to attack our village. We have to warn the villagers!
zts4056e	What?
zts4057e	It's getting more dangerous by the day in NosVille.
zts4058e	The monsters are attacking. They're everywhere! Quickly, we have to gather together and stop these creatures!
zts4059e	It's already started....
zts4060e	I'll help the NosVille guards!
zts4061e	Everything is over. In the end we've been defeated!
zts4062e	Don't lose hope. Most creatures have returned to the Time-Space.
zts4063e	Yes, but not before plundering our land. And some of them are still wandering around here and threatening our citizens!
zts4064e	I'll stay here and deal with these monsters.
zts4065e	No! You won't be able to on your own.
zts4066e	I've got to try, at least. You can't help me, you need to follow your orders and help the injured citizens.
zts4067e	I'm sorry.
zts4068e	*sigh* Is that enough?
zts4069e	Hey! Are you all right?
zts4070e	How's the village? Is it getting repaired?
zts4071e	Yes, but it's not as badly damaged as we feared.
zts4072e	Luckily the guards were able to keep the monsters back for a while. That gave the villagers enough time to get out, at least.
zts4073e	Yes, their hard work in training has paid off!
zts4074e	Greetings!
zts4075e	You look so glum. What's wrong?
zts4076e	Oh, I've been demoted because of this thing with the Kovolts.
zts4077e	Oh dear, I'm sorry to hear that.
zts4078e	Let's talk about it some other time. You know Bob, right? Maybe you've seen him around?
zts4079e	No?
zts4080e	He headed off a while ago to fight against the monsters and help a wounded guard. But he hasn't come back yet. I hope nothing's happened. You have to find him, do you understand?
zts4081e	One more accident, and I'll be fired... hmmph...
zts4082e	Calm down. I'll find him!!
zts4083e	Bob headed north. But that's all I know.
zts4084e	All right, I'll set off now.
zts4085e	Thank you! Life can just be so unfair sometimes! *grumbles*
zts4086e	You saved Bob? Thank you! I nearly lost my job because of these idiots. Just you wait until I see him!
zts4087e	Yes... Hahaha.
zts4088e	These guards are just too dimwitted. They overestimate themselves constantly and then complain loudly when things go wrong.
zts4089e	Shut up, you big mouth!!
zts4090e	Aaaaargh!
zts4091e	He... Hello, how are you?
zts4092e	Are you Mudog's troublemaker?
zts4093e	What? Tr... Troublemaker?
zts4094e	I heard that you're the reason the Kovolts are causing all this trouble. So what are you going to do about it?
zts4095e	What's wrong?
zts4096e	I'm responsible for the Western Mine 2, but the Kovolts there have gone completely crazy! You're not going to run away from that, are you? Take responsibility!
zts4097e	Yes?
zts4098e	You have to teach these dishonourable Kovolts a lesson!
zts4099e	Where's Krispo?
zts4100e	There... err... There's a small problem. Krispo is... err...
zts4101e	Come on, tell me! What happened?
zts4102e	Well... he followed you to see whether you were going to do your job properly. And then the Kovolts found him and have taken him prisoner. I'm really sorry... hahaha.
zts4103e	No wonder he couldn't find me in such a huge, winding mine. Now we really have a problem!
zts4104e	Buahahaha!!! What a shame! Poor thing! Hahaha...
zts4105e	I don't see what there is to laugh about here, Mudog. This is serious!
zts4106e	Yes, yes, all right. You're right. So what are you going to do now?
zts4107e	I'm going to go and find him, of course!! I'm a NosVille adventurer after all!!
zts4108e	No, please don't go. It's far too dangerous.
zts4109e	I don't care! A real adventurer doesn't let danger get in the way.
zts4110e	You're risking your life for someone you've never even met? That's insane! Be sensible!
zts4111e	I've made my decision!! Goodbye, Mudog.
zts4112e	No, stay here! Save your life!
zts4113e	The Kovolts are still following us! Attack!!
zts4114e	Attack!!
zts4115e	Calm down!!
zts4116e	Ah! Captain!
zts4117e	The NosVille guards are on their way. We're going to attack the Kovolt base!
zts4118e	The Kovolts are going to regret ever taking me prisoner. I'm going to beat them all on their behinds!
zts4119e	Please, calm down! We need to stay calm and avoid letting our feelings lead the way forward.
zts4120e	Hey... Krispo... It's nothing to do with settling personal scores!
zts4121e	Tsk tsk... are you trying to give me orders, you dimwitted guard? If you'd been paying closer attention in the first place, then none of these horrible things would be happening to me!
zts4122e	Please... Calm yourselves!!
zts4123e	(The captain suddenly rushes over to Krispo and hits him. Krispo is unconscious.)
zts4124e	I had to. He shouldn't have insulted me like that! Anyway, I'm going to march with my men to the south east. And you should follow once you're ready!
zts4125e	Why am I being dragged into another fight? And what's going to happen with Krispo?
zts4126e	Don't worry, he'll be all right on his own. There are much more important things right now! And we need all the help you competent adventurers can give us!
zts4127e	All right, I understand. I'll follow you as soon as I can.
zts4128e	Welcome back! What's that in your hand?
zts4129e	What? Ah... You mean this?
zts4130e	Hey, that's a fairy!
zts4131e	This strange shiny creature... is... a fairy??
zts4132e	Fairies aren't strange creatures, but they're certainly mysterious! They give their master new powers. I could explain more, but Eva is the expert at these things...
zts4133e	Wow! A fairy!!!
zts4134e	Mimi says you're the expert on fairies.
zts4135e	Of course! The fairies are my friends!
zts4136e	Oh really?
zts4137e	That's right. I've known some of them since I was really small.
zts4138e	What do you think of my new fairy?
zts4139e	Take a look at your fairy. Is she glowing? She may look cute, but nothing could be further from the truth. There's nothing she loves more to do than eating, and it makes her very sad when she gets hungry. Make sure that you always give her enough nourishment. Don't forget!
zts4140e	Hello! I'm looking for those with pure souls!
zts4141e	Your eyes tell me a lot. Come here and take my hand!
zts4142e	Are you talking to me??
zts4143e	Yes, you closed the door to ignorance and have finally seen that you must listen to your heart. Come here and touch my hands!
zts4144e	Are you sure that I'm the right person?
zts4145e	Please come over here and touch my hands.
zts4146e	But I barely know him. What could he want from me?
zts4147e	The cursed sun is rising on the Sunny Meadows!!
zts4148e	What are you talking about??
zts4149e	The powers of evil are gathering around the cursed sun.
zts4150e	Are you predicting that something bad is going to happen?
zts4151e	Exactly!!
zts4153e	Because only a hero can stop the darkness.
zts4154e	(This guy is talking in riddles. Unless he's saying that I'm this hero?)
zts4155e	More and more of these demons are appearing. Isn't it going to stop?
zts4156e	Isn't it over yet?
zts4157e	I think I've almost done it.
zts4158e	Whoa!!! The devils are making a big circle!!!
zts4159e	Oh my god! What is that thing in the centre?
zts4160e	I've never seen something so gruesome before!! I have to tell everyone in NosCamp.
