zts1e	Milano Tool Shop (Use)
zts2143e	What do you mean? Of course, we have to.
zts2144e	Hmm. You don't know yet. Darksy does.
zts2145e	Cenil. Shut up! Stop it!
zts2146e	They have to know about this.. Miss Liar??
zts2147e	Don't entrap me!
zts2148e	I am not entrapping you. But you know that Darksy wants Fernon to be reborn.
zts2149e	Grrrrrr!!
zts2150e	And then, why do you try to save Charlotte? I think you are the person who desperately awaits the ritual.
zts2151e	Don't jump to conclusions. What I want.. No.. What the Darksy wants is the will of Mother Erenia. She wants to communicate with the world. Fernon is a gift from her and with her blessing, it will wake up from deep slumber!
zts2152e	(Sigh!!) .. and then why did you try to block Kenko? I don't understand you. I refuse to go with you any more!
zts2153e	It's not like that. The Demons are not giving rebirth to Fernon. They are changing Fernon into a tree of the Devil. It will make a pathway for the Demons in Hellrod to pass through.
zts2154e	However, if Fernon is opened, everything else will be the same in the long run. Did you know that!!
zts2155e	No, it's different!! The original Fernon doesn't have any Devil power, and doesn't hurt any life!
zts2156e	Haha. You Darksies. Always twisting and distorting the truth. I will leave here, but I promise you one thing. The next time I see you. My sword will be aimed at your throat. Hahaha. Bye.
zts2157e	I.. I don't know. But let me ask you one question.. Do you really want to save Charlotte?
zts2158e	Of course.
zts2159e	If so.. if you really do, then I will follow you. Kenel, What about you?
zts2160e	My master has ordered so.. I have to follow it.
zts2161e	It doesn't have any end!!
zts2162e	Let's get out of here now!! Hurry up. We have to find Kenko first!!
zts2163e	Here you come!!
zts2164e	Where is Charlotte?
zts2165e	She's in the ritual. It is already started.
zts2166e	Kenko!! Why did you betray us? Why have you thrown away your pride?
zts2167e	.. I didn't have any other choice. Our land, Kreano, was already taken over by the Demons. In order to survive, I had to follow their orders.
zts2168e	What.. What?
zts2169e	Hate me. Kill me. Even though I die here, I deserve to be cursed. However!
zts2170e	Get out of my way.. You betrayer!!
zts2171e	No, I can't.. For the sake of my brothers, I can't show you the way.
zts2172e	If that is so, then all of us will die!!
zts2173e	None of you can enter until the ritual is over!!
zts2174e	(Grrrrr) Betrayer! Why didn't you expect this?
zts2175e	I have one thing to ask for!!
zts2176e	Please don't kill my brothers.. They are innocent..
zts2177e	Okay.. You may go..
zts2178e	Kenel's sword pierces Kenko's chest!!
zts2179e	(Grr) Kenko.
zts2180e	No time to be sentimental!! Hurry up!!
zts2181e	Cenil!!
zts2182e	Demons!! Die!!
zts2183e	Demons!! You die!! Die!!
zts2184e	Get out of here right now!! Princess Charlotte is right over there!!
zts2185e	How. Can I..
zts2186e	Please.. Save the Princess!!
zts2187e	Cenil!!
zts2188e	Please.. Save the Princess!!
zts2189e	Cenil!! Cenil!!
zts2190e	Please, I can't bear it any more. Please, leave. Save princess. Aaaah.
zts2191e	Will you throw his reputation into the ditch?
zts2192e	.. Let's leave here. We have to save the Princess of Catsy.
zts2193e	Ah.. Yes..
zts2194e	Kenel. Thank you so much!
zts2195e	Thick and hellish smoke rises. Right in the middle of it all, Charlotte is surrounded by Demons. They are performing rituals.
zts2196e	Stop it!!
zts2197e	Completed?
zts2198e	Shoot. It's too late!!
zts2199e	Uhhh? Space is being twisted!!
zts2200e	(Groaning)
zts2201e	Sister!!
zts2202e	You.. you were lucky. You came here just before the sealing ritual was completed. Now Fernon goes back to sleep again.
zts2203e	Is. is it over now?
zts2204e	(The sound of footsteps approaching.. It sounds like giant footsteps)
zts2205e	Is it the Devil?
zts2206e	Oh.. no.. the TimeSpace has opened!!
zts2207e	It's.. It's all.. over.
zts2208e	Ce.. nil.
zts2209e	Ah.
zts2210e	Is it over? Is Fernon sealed?
zts2211e	No.. it's just falling asleep again.
zts2212e	Then why don't you seal it? Hurry. Begin the sealing ritual!
zts2213e	It's too late to seal it. Fernon awakes with the blood of the Kovolts and sleeps with the blood of the Catsy. Now it has tasted both and will move of its own will. There's nothing we can do from now on.
zts2214e	Does that means sometime later.. it will wake up again?
zts2215e	Don't worry. If it's not the Fernon of Devil power, it won't hurt any life.
zts2216e	But, even so, all the pathways in the worlds will be opened and the world will plunge into chaos.
zts2217e	It is.. it is the will of Mother Erenia.
zts2218e	Well.. we don't know who's right.. and who's wrong now.
zts2219e	One thing sure is.. a new age is coming.
zts2220e	(Cenil. I kept the promise)
zts2221e	Hey.. Brother. What did you say?
zts2222e	No.. Nothing.. I didn't say anything.
zts2223e	Was our adventure a success or a failure? Only vanity and sorrow are left. Many died, but nobody knows who were on the side of justice. Fernon.. Are you the will of Mother Erenia or the symbol of Devil power?
zts2224e	Pajama Quest Start 1
zts2225e	It's a Soul gem to get a Pajama card.
zts2226e	Ah.. Are you a fairy Pajama?
zts2227e	Uuuuh.
zts2228e	Uuuuuuuhh.
zts2229e	Hey?
zts2230e	Uuuuuuuuuuuhhhhhhhh.
zts2231e	Hey!!
zts2232e	Hey.. You surprise me!
zts2233e	What are you so concerned about?
zts2234e	Ah. Hmm.. I.. I..
zts2235e	Peed on the blanket.
zts2236e	What!!
zts2237e	(Sobbing)
zts2238e	No need to sob.. Just wash it.
zts2239e	You!!
zts2240e	What??.. What!!
zts2241e	You mean I have to sleep on this dirty blanket?
zts2242e	No, I mean.. just.
zts2243e	I feel so bad. You dare insult the fairy of Pajama! Okay.. I will put my curse on you!!
zts2244e	Ah!!
zts2245e	Hahaha. Now, how do you feel?
zts2246e	..?? What?? Nothing happened??
zts2247e	Hmmm.. Such a dumb guy.
zts2248e	What are you talking about?
zts2249e	Hahaha.. from now on..
zts2250e	You will suffer from constipation for a 100 years!
zts2251e	What!!
zts2252e	The real power of the fairy Pajama's curse is.
zts2253e	What. there's more?
zts2254e	Even diarrhea will become constipation.
zts2255e	What??
zts2256e	Enjoy your suffering!! Hahaha..
zts2257e	Hey. That's too harsh! Don't you think so?
zts2258e	You think it's not fair?
zts2259e	Not fair?! It's more than unfair.
zts2260e	Okay, you talk too much. If you don't like it, give me a new blanket!!
zts2261e	Bring me a new blanket next time. Got it? Bye.
zts2262e	Pajama Quest middle Conversation 1
zts2263e	You lazy bum!
zts2264e	Why are you so pissed off?
zts2265e	What did you do? I need a blanket!!
zts2266e	Why do I have to give it to you then?
zts2267e	Blanket! Blanket! Blanket! Blanket! Blanket!
zts2268e	Pajama Quest start Conversation 2
zts2269e	Okay.. here is the blanket!
zts2270e	Oho!!
zts2271e	Okay. Here it is.. So release your curse!
zts2272e	Hey. I have such a hard time in the toilet every morning. So, take back your curse.
zts2273e	Hm. With this only.
zts2274e	Can I have sweet and cozy night?
zts2275e	What. what are you talking about?
zts2276e	What if I have a pillow..
zts2277e	HEY!!
zts2278e	Okay.. You can leave.
zts2279e	Pajama Quest middle Conversation 2
zts2280e	What if I have a pillow.
zts2281e	Uhhhh.
zts2282e	What brought you here?
zts2283e	Pajama Quest start Conversation 3
zts2284e	Okay.. here is a pillow!
zts2285e	And what? What's more?
zts2286e	Now.. Can I have a cozy sleep and a sweet night's dream?
zts2287e	What the!! What?? What's the matter again?
zts2288e	Now I've come to realize that I haven't even had my own bed.
zts2289e	Hey!!
zts2290e	I need a bed. Can you serve me?
zts2291e	Pajama Quest middle Conversation 3
zts2292e	Bed.. please.. Okay? And then, don't complain sp much. If you irritate me, I will become mean.
zts2293e	Pajama Quest start Conversation 4
zts2294e	Okay.. here is a bed!
zts2295e	What.. What are you talking about again?
zts2296e	Can I have a sweet and cozy night's dream on this hard bed.
zts2297e	Hey.. Why do you cut me off while I am talking?
zts2298e	Just release your curse. What are you doing?
zts2299e	Hmmm. Where's your etiquette then?
zts2300e	What?
zts2301e	I will punish you, you rude jerk! Now, it's the Pajama's super curse!!
zts2302e	Ahhh!!
zts2303e	Puhahaha.. How do you feel?
zts2304e	Ahh. Ahh. Hmmm. Nothing happened!
zts2305e	Haha.. You didn't feel it, but your constipation will..
zts2306e	!
zts2307e	Will last for a 1,000 years!!
zts2308e	Ahhhh!!
zts2309e	Ah.. If I have a cushion mattress, I can really have a sweet night!!
zts2310e	Grrrrr. You. dirty bird. I lose.
zts2311e	Pajama Quest middle Conversation 4
zts2312e	Do you want it for a 10,000 years?
zts2313e	Pajama Quest middle Conversation 5
zts2314e	Here is a mattress. Now, release the curse immediately!
zts2315e	Hey!!
zts2316e	Can I have a sweet.
zts2317e	Grrrr!! I cannot bear it anymore!!
zts2318e	Hey.. Ahhh!! What are you doing! Aren't you afraid of 10,000.. Ahhh!!
zts2319e	It's 10 minutes of fierce violence.
zts2320e	Release it or you are going to die.
zts2321e	Yes sir!!
zts2322e	If you are in my sight again, you will be dead.
zts2323e	Yes sir. I will keep that in mind!
zts2324e	Ah. You made me so angry!
zts2325e	P.. please. don't beat me up. Pajama loves peace!
zts2326e	Hmm. I can't help it.
zts2327e	Here. This is a gift from my heart. Please take it and get rid of your anger.
zts2328e	Got the piece of TimeSpace. (It cannot be stored in the inventory)
zts2329e	Challenge to TimeSpace
zts2330e	Pajama Quest middle Conversation 5
zts2331e	The pajama fairy dare not look me in the eyes again.
zts2332e	Hey! What did you give me?
zts2333e	Thank you, Mr. Hero.
zts2334e	Stop beating around the bush. I was almost killed.
zts2335e	To be honest, Hero, I am the Prince of the neighboring kingdom.
zts2336e	Haha. Yes, whatever! In your dreams!
zts2337e	No, I'm not lying. I was cursed by a wicked witch and then..
zts2338e	Hmm.. really?
zts2339e	Yes, I lost my memory and became the fairy of pajamas for the last 100 years. I think I have done a lot of vicious things.
zts2340e	Ahh.. headache.. What is happening here?
zts2341e	Thanks again, Hero. You punished the wicked witch and released me from my curse. Please accept this gift from me.
zts2342e	Ah. this card is.
zts2343e	It's a pajama card! It will bring you luck. Now it's time to bid farewell. I thank you again for your brave deeds, Mr. Hero.
zts2344e	Warrior Quest start Conversation 1
zts2345e	This Soul gem enables the swordsman to get a warrior card, the archer to get a ranger card and the sorcerer to get a magician card respectively.
zts2346e	A weird aura surrounds the adventurer. And hears faint yawning sounds.
zts2347e	Who is there?
zts2348e	??: Bring me out here.
zts2349e	Where? And who are you?
zts2350e	??: Save me now..
zts2351e	What? Ahh.
zts2352e	Something white in the front. It's the skull of an elf.
zts2353e	Hey Skull, is that you talking?
zts2354e	??: Haha.. Lift me up.. um.. I mean the skull.
zts2355e	(At the moment of lifting it)
zts2356e	Wow! Look at me now. I am free!
zts2357e	Huk!! You scared me!
zts2358e	Thanks a lot. A thousand years have passed since I saw the last face.
zts2359e	Who are you?
zts2360e	I used to be a human like you. However, I am now a ghost in anger.
zts2361e	I won't forget the gratitude I owe you sweety.. However..
zts2362e	However, what?
zts2363e	I cannot disappear like this.
zts2364e	Sorry, but I have to use you for the time being. When the wheel of my revenge stops, you will be free.
zts2365e	What? What are you doing?!
zts2366e	The adventurer feels dizzy and later regains consciousness. He looks around but does not find anyone. When he looks down, he finds the piece of TimeSpace.
zts2367e	Warrior (Voice) : Sorry. Because of my grudge, you will lose your vitality slowly. Please cut off the chain of my grudge. Find Dark Stalin, the vicious elf. Only his blood can save us!
zts2368e	(Talk to the Soul gem again and enter TimeSpace)
zts2369e	Warrior Quest middle Conversation 1
zts2370e	.. It's too early to find me.
zts2371e	Warrior Quest middle Conversation 2
zts2372e	The piece of TimeSpace. It's found there.
zts2373e	Haha.. is this his heart?
zts2374e	He? You mean Dark Stalin?
zts2375e	My friend, come back!
zts2376e	Heart bursts into flames.
zts2377e	(Sigh!!) . I'm tired.
zts2378e	Welcome back, brother.
zts2379e	Long time no see. How can I show you my gratitude?
zts2380e	Not to me, but to this friend.
zts2381e	Hello! How are you?
zts2382e	Is this the jerk that disturbed my sleep?
zts2383e	Wh.. what?
zts2384e	You are so lucky. If I had my bow and arrow in my hands, you would be already dead, Mr.Jerk.
zts2385e	Don't you think you speak too harshly?
zts2386e	You haven't changed a bit. Now the time to pay back has come.
zts2387e	Haha.. There's no need to bring old memories back. Let's have a long sleep again.
zts2388e	Have you lost the pride and honor of a warrior?
zts2389e	No, but I'm just sick of killing without a reason.
zts2390e	A thousand years in the darkness. Doesn't this make you angry? Do you want to forgive those vicious elves?
zts2391e	Well, the first one hundred years was very boring, but I started getting used to it.
zts2392e	Don't avoid the question, my friend. Answer me!
zts2393e	Have you forgotten everything? We fought against the cursed Dark Stalin and lost. Why did we lose? It's because we were stupid. And now, since a thousand years have passed, what more can we do?
zts2394e	That vicious elf was afraid of our power, and killed himself and trapped us in his body. Our souls have been restrained in a thousand years of darkness. It's so shameful. If we cannot take revenge, we don't deserve a peaceful death.
zts2395e	Haha.. So who are you fighting now? The innocent descendants of the elf?
zts2396e	Dark Stalin. He is still alive.
zts2397e	Haha.. this is a funny story.
zts2398e	I was sealed in his head and heard the whole truth. He didn't die, but just sealed us in his body.
